case:concept:name,concept:name,time:timestamp,lifecycle:transition,org:resource,EventOrigin,case:ApplicationType,case:LoanGoal,case:RequestedAmount
1,A_Create Application,2016-05-17 09:15:00.001000,complete,User_16,Application,New credit,Existing loan takeover,10000
1,A_Submitted,2016-05-17 09:15:00.099000,complete,User_1,Application,New credit,Existing loan takeover,10000
1,W_Handle leads,2016-05-17 09:15:00.482923,start,User_62,Workflow,New credit,Existing loan takeover,10000
2,A_Create Application,2016-05-17 09:16:11.648118,complete,User_4,Application,New credit,Existing loan takeover,6000
2,A_Submitted,2016-05-17 09:16:11.746118,complete,User_1,Application,New credit,Existing loan takeover,6000
2,W_Handle leads,2016-05-17 09:16:12.224079,start,User_17,Workflow,New credit,Existing loan takeover,6000
1,W_Handle leads,2016-05-17 09:18:14.687436,complete,User_62,Workflow,New credit,Existing loan takeover,10000
1,A_Concept,2016-05-17 09:18:14.691436,complete,User_8,Application,New credit,Existing loan takeover,10000
1,W_Complete application,2016-05-17 09:18:15.106569,start,User_62,Workflow,New credit,Existing loan takeover,10000
2,W_Handle leads,2016-05-17 09:19:26.428592,complete,User_17,Workflow,New credit,Existing loan takeover,6000
2,A_Concept,2016-05-17 09:19:26.432592,complete,User_3,Application,New credit,Existing loan takeover,6000
2,W_Complete application,2016-05-17 09:19:26.827038,start,User_41,Workflow,New credit,Existing loan takeover,6000
3,A_Create Application,2016-05-17 09:23:56.862657,complete,User_42,Application,New credit,Car,20000
3,A_Submitted,2016-05-17 09:23:56.960657,complete,User_1,Application,New credit,Car,20000
3,W_Handle leads,2016-05-17 09:23:57.480981,start,User_104,Workflow,New credit,Car,20000
4,A_Create Application,2016-05-17 09:24:50.323532,complete,User_8,Application,New credit,Car,40500
4,A_Submitted,2016-05-17 09:24:50.421532,complete,User_1,Application,New credit,Car,40500
4,W_Handle leads,2016-05-17 09:24:50.913168,start,User_9,Workflow,New credit,Car,40500
3,W_Handle leads,2016-05-17 09:27:11.685494,complete,User_104,Workflow,New credit,Car,20000
3,A_Concept,2016-05-17 09:27:11.689494,complete,User_4,Application,New credit,Car,20000
3,W_Complete application,2016-05-17 09:27:12.222907,start,User_69,Workflow,New credit,Car,20000
4,W_Handle leads,2016-05-17 09:28:05.117681,complete,User_9,Workflow,New credit,Car,40500
4,A_Concept,2016-05-17 09:28:05.121681,complete,User_94,Application,New credit,Car,40500
4,W_Complete application,2016-05-17 09:28:05.287569,start,User_96,Workflow,New credit,Car,40500
5,A_Create Application,2016-05-17 09:37:44.460278,complete,User_4,Application,New credit,"Other, see explanation",35000
5,A_Submitted,2016-05-17 09:37:44.558278,complete,User_1,Application,New credit,"Other, see explanation",35000
5,W_Handle leads,2016-05-17 09:37:45.242735,start,User_42,Workflow,New credit,"Other, see explanation",35000
6,A_Create Application,2016-05-17 09:39:31.025712,complete,User_16,Application,New credit,Car,10500
6,A_Submitted,2016-05-17 09:39:31.123712,complete,User_1,Application,New credit,Car,10500
6,W_Handle leads,2016-05-17 09:39:31.707295,start,User_65,Workflow,New credit,Car,10500
7,A_Create Application,2016-05-17 09:39:59.351800,complete,User_45,Application,New credit,Existing loan takeover,3000
7,A_Submitted,2016-05-17 09:39:59.449800,complete,User_1,Application,New credit,Existing loan takeover,3000
7,W_Handle leads,2016-05-17 09:40:00.193331,start,User_78,Workflow,New credit,Existing loan takeover,3000
5,W_Handle leads,2016-05-17 09:40:59.447248,complete,User_42,Workflow,New credit,"Other, see explanation",35000
5,A_Concept,2016-05-17 09:40:59.451248,complete,User_43,Application,New credit,"Other, see explanation",35000
5,W_Complete application,2016-05-17 09:40:59.824375,start,User_47,Workflow,New credit,"Other, see explanation",35000
6,W_Handle leads,2016-05-17 09:42:45.911808,complete,User_65,Workflow,New credit,Car,10500
6,A_Concept,2016-05-17 09:42:45.915808,complete,User_42,Application,New credit,Car,10500
6,W_Complete application,2016-05-17 09:42:46.400639,start,User_66,Workflow,New credit,Car,10500
8,A_Create Application,2016-05-17 09:42:48.827706,complete,User_4,Application,Limit raise,Home improvement,20500
8,A_Submitted,2016-05-17 09:42:48.925706,complete,User_1,Application,Limit raise,Home improvement,20500
8,W_Handle leads,2016-05-17 09:42:49.259464,start,User_9,Workflow,Limit raise,Home improvement,20500
9,A_Create Application,2016-05-17 09:42:55.361986,complete,User_86,Application,New credit,Car,10000
9,A_Submitted,2016-05-17 09:42:55.459986,complete,User_1,Application,New credit,Car,10000
9,W_Handle leads,2016-05-17 09:42:56.248358,start,User_45,Workflow,New credit,Car,10000
7,W_Handle leads,2016-05-17 09:43:14.397844,complete,User_78,Workflow,New credit,Existing loan takeover,3000
7,A_Concept,2016-05-17 09:43:14.401844,complete,User_54,Application,New credit,Existing loan takeover,3000
7,W_Complete application,2016-05-17 09:43:14.434421,start,User_54,Workflow,New credit,Existing loan takeover,3000
10,A_Create Application,2016-05-17 09:44:10.949688,complete,User_60,Application,New credit,Remaining debt home,7000
10,A_Submitted,2016-05-17 09:44:11.047688,complete,User_1,Application,New credit,Remaining debt home,7000
10,W_Handle leads,2016-05-17 09:44:11.310002,start,User_5,Workflow,New credit,Remaining debt home,7000
8,W_Handle leads,2016-05-17 09:46:03.463977,complete,User_9,Workflow,Limit raise,Home improvement,20500
8,A_Concept,2016-05-17 09:46:03.467977,complete,User_3,Application,Limit raise,Home improvement,20500
8,W_Complete application,2016-05-17 09:46:03.867963,start,User_16,Workflow,Limit raise,Home improvement,20500
9,W_Handle leads,2016-05-17 09:46:10.452871,complete,User_45,Workflow,New credit,Car,10000
9,A_Concept,2016-05-17 09:46:10.456871,complete,User_78,Application,New credit,Car,10000
9,W_Complete application,2016-05-17 09:46:11.420645,start,User_37,Workflow,New credit,Car,10000
10,W_Handle leads,2016-05-17 09:47:25.514515,complete,User_5,Workflow,New credit,Remaining debt home,7000
10,A_Concept,2016-05-17 09:47:25.518515,complete,User_25,Application,New credit,Remaining debt home,7000
10,W_Complete application,2016-05-17 09:47:25.985185,start,User_34,Workflow,New credit,Remaining debt home,7000
11,A_Create Application,2016-05-17 09:53:03.716852,complete,User_43,Application,New credit,Car,31000
11,A_Submitted,2016-05-17 09:53:03.814852,complete,User_1,Application,New credit,Car,31000
11,W_Handle leads,2016-05-17 09:53:03.943879,start,User_108,Workflow,New credit,Car,31000
12,A_Create Application,2016-05-17 09:53:23.330652,complete,User_10,Application,New credit,Existing loan takeover,12500
12,A_Submitted,2016-05-17 09:53:23.428652,complete,User_1,Application,New credit,Existing loan takeover,12500
12,W_Handle leads,2016-05-17 09:53:24.064770,start,User_132,Workflow,New credit,Existing loan takeover,12500
13,A_Create Application,2016-05-17 09:53:49.362047,complete,User_65,Application,New credit,Caravan / Camper,22500
13,A_Submitted,2016-05-17 09:53:49.460047,complete,User_1,Application,New credit,Caravan / Camper,22500
13,W_Handle leads,2016-05-17 09:53:49.731179,start,User_8,Workflow,New credit,Caravan / Camper,22500
11,W_Handle leads,2016-05-17 09:56:18.148392,complete,User_108,Workflow,New credit,Car,31000
11,A_Concept,2016-05-17 09:56:18.152392,complete,User_23,Application,New credit,Car,31000
11,W_Complete application,2016-05-17 09:56:18.259486,start,User_86,Workflow,New credit,Car,31000
14,A_Create Application,2016-05-17 09:56:30.502984,complete,User_97,Application,Limit raise,Home improvement,26000
14,A_Submitted,2016-05-17 09:56:30.600984,complete,User_1,Application,Limit raise,Home improvement,26000
14,W_Handle leads,2016-05-17 09:56:31.568849,start,User_6,Workflow,Limit raise,Home improvement,26000
12,W_Handle leads,2016-05-17 09:56:38.269283,complete,User_132,Workflow,New credit,Existing loan takeover,12500
