case:concept:name,concept:name,time:timestamp,lifecycle:transition,org:resource,case:ApplicationType,case:LoanGoal,case:RequestedAmount
1,A_Create Application,2016-01-01 09:15:00.000000,start,User_79,New credit,Not speficied,47489.2
1,A_Create Application,2016-01-01 09:15:00.000000,complete,User_79,New credit,Not speficied,47489.2
1,A_Submitted,2016-01-01 09:15:00.000000,start,User_1,New credit,Not speficied,47489.2
1,A_Submitted,2016-01-01 09:15:00.000000,complete,User_1,New credit,Not speficied,47489.2
1,W_Handle leads,2016-01-01 09:15:00.000000,start,User_40,New credit,Not speficied,47489.2
1,W_Handle leads,2016-01-01 09:20:47.618203,complete,User_40,New credit,Not speficied,47489.2
1,W_Handle leads,2016-01-01 09:20:47.618203,start,User_47,New credit,Not speficied,47489.2
1,W_Handle leads,2016-01-01 09:28:17.835098,complete,User_47,New credit,Not speficied,47489.2
1,W_Complete application,2016-01-01 09:28:17.835098,start,User_72,New credit,Not speficied,47489.2
2,A_Create Application,2016-01-01 09:37:28.341078,start,User_31,New credit,Existing loan takeover,25581.06
2,A_Create Application,2016-01-01 09:37:28.341078,complete,User_31,New credit,Existing loan takeover,25581.06
2,A_Submitted,2016-01-01 09:37:28.341078,start,User_1,New credit,Existing loan takeover,25581.06
2,A_Submitted,2016-01-01 09:37:28.341078,complete,User_1,New credit,Existing loan takeover,25581.06
2,W_Handle leads,2016-01-01 09:37:28.341078,start,User_141,New credit,Existing loan takeover,25581.06
2,W_Handle leads,2016-01-01 09:38:21.487970,complete,User_141,New credit,Existing loan takeover,25581.06
2,W_Complete application,2016-01-01 09:38:21.487970,start,User_49,New credit,Existing loan takeover,25581.06
1,W_Complete application,2016-01-01 09:41:17.569948,complete,User_72,New credit,Not speficied,47489.2
1,W_Complete application,2016-01-01 09:41:17.569948,start,User_3,New credit,Not speficied,47489.2
1,W_Complete application,2016-01-01 09:42:05.261199,complete,User_3,New credit,Not speficied,47489.2
1,W_Complete application,2016-01-01 09:42:05.261199,start,User_29,New credit,Not speficied,47489.2
1,W_Complete application,2016-01-01 09:43:18.126754,complete,User_29,New credit,Not speficied,47489.2
1,W_Complete application,2016-01-01 09:43:18.126754,start,User_25,New credit,Not speficied,47489.2
3,A_Create Application,2016-01-01 09:44:27.251531,start,User_58,New credit,Home improvement,15148.56
3,A_Create Application,2016-01-01 09:44:27.251531,complete,User_58,New credit,Home improvement,15148.56
3,A_Submitted,2016-01-01 09:44:27.251531,start,User_1,New credit,Home improvement,15148.56
3,A_Submitted,2016-01-01 09:44:27.251531,complete,User_1,New credit,Home improvement,15148.56
3,W_Handle leads,2016-01-01 09:44:27.251531,start,User_144,New credit,Home improvement,15148.56
1,W_Complete application,2016-01-01 09:44:58.009919,complete,User_25,New credit,Not speficied,47489.2
1,W_Complete application,2016-01-01 09:44:58.009919,start,User_37,New credit,Not speficied,47489.2
2,W_Complete application,2016-01-01 09:45:02.478897,complete,User_49,New credit,Existing loan takeover,25581.06
2,W_Complete application,2016-01-01 09:45:02.478897,start,User_25,New credit,Existing loan takeover,25581.06
1,W_Complete application,2016-01-01 09:45:07.616328,complete,User_37,New credit,Not speficied,47489.2
1,W_Complete application,2016-01-01 09:45:07.616328,start,User_32,New credit,Not speficied,47489.2
3,W_Handle leads,2016-01-01 09:46:10.918246,complete,User_144,New credit,Home improvement,15148.56
3,W_Handle leads,2016-01-01 09:46:10.918246,start,User_45,New credit,Home improvement,15148.56
3,W_Handle leads,2016-01-01 09:46:30.722600,complete,User_45,New credit,Home improvement,15148.56
3,W_Complete application,2016-01-01 09:46:30.722600,start,User_100,New credit,Home improvement,15148.56
2,W_Complete application,2016-01-01 09:47:08.804544,complete,User_25,New credit,Existing loan takeover,25581.06
2,W_Complete application,2016-01-01 09:47:08.804544,start,User_90,New credit,Existing loan takeover,25581.06
2,W_Complete application,2016-01-01 09:49:01.966992,complete,User_90,New credit,Existing loan takeover,25581.06
2,W_Complete application,2016-01-01 09:49:01.966992,start,User_3,New credit,Existing loan takeover,25581.06
2,W_Complete application,2016-01-01 09:51:01.378395,complete,User_3,New credit,Existing loan takeover,25581.06
2,W_Complete application,2016-01-01 09:51:01.378395,start,User_49,New credit,Existing loan takeover,25581.06
