case:concept:name,concept:name,time:timestamp,lifecycle:transition,org:resource,EventOrigin,case:ApplicationType,case:LoanGoal,case:RequestedAmount
1,A_Create Application,2016-05-17 09:15:00.001000,complete,User_71,Application,New credit,Existing loan takeover,10000
1,A_Submitted,2016-05-17 09:15:00.099000,complete,User_1,Application,New credit,Existing loan takeover,10000
1,W_Handle leads,2016-05-17 09:15:00.882742,start,User_71,Workflow,New credit,Existing loan takeover,10000
1,W_Handle leads,2016-05-17 09:16:55.586922,complete,User_71,Workflow,New credit,Existing loan takeover,10000
2,A_Create Application,2016-05-17 09:16:55.587922,complete,User_71,Application,New credit,Existing loan takeover,6000
2,A_Submitted,2016-05-17 09:16:55.685922,complete,User_1,Application,New credit,Existing loan takeover,6000
1,W_Complete application,2016-05-17 09:16:55.717227,start,User_45,Workflow,New credit,Existing loan takeover,10000
2,W_Handle leads,2016-05-17 09:16:56.179296,start,User_11,Workflow,New credit,Existing loan takeover,6000
1,W_Complete application,2016-05-17 09:18:53.658561,complete,User_45,Workflow,New credit,Existing loan takeover,10000
1,A_Concept,2016-05-17 09:18:53.662561,complete,User_31,Application,New credit,Existing loan takeover,10000
1,A_Accepted,2016-05-17 09:18:54.686561,complete,User_62,Application,New credit,Existing loan takeover,10000
1,O_Create Offer,2016-05-17 09:18:55.149561,complete,User_4,Offer,New credit,Existing loan takeover,10000
1,O_Created,2016-05-17 09:18:55.238561,complete,User_40,Offer,New credit,Existing loan takeover,10000
1,O_Sent (mail and online),2016-05-17 09:18:55.239561,complete,User_58,Offer,New credit,Existing loan takeover,10000
1,W_Call after offers,2016-05-17 09:18:56.162820,start,User_31,Workflow,New credit,Existing loan takeover,10000
1,W_Call after offers,2016-05-17 09:19:23.079233,complete,User_31,Workflow,New credit,Existing loan takeover,10000
1,A_Complete,2016-05-17 09:19:24.625233,complete,User_78,Application,New credit,Existing loan takeover,10000
1,O_Create Offer,2016-05-17 09:19:25.088233,complete,User_4,Offer,New credit,Existing loan takeover,10000
1,O_Created,2016-05-17 09:19:25.177233,complete,User_40,Offer,New credit,Existing loan takeover,10000
1,W_Call after offers,2016-05-17 09:19:25.305743,start,User_31,Workflow,New credit,Existing loan takeover,10000
1,W_Call after offers,2016-05-17 09:20:17.321845,complete,User_31,Workflow,New credit,Existing loan takeover,10000
1,O_Sent (mail and online),2016-05-17 09:20:17.322845,complete,User_58,Offer,New credit,Existing loan takeover,10000
1,A_Complete,2016-05-17 09:20:18.868845,complete,User_78,Application,New credit,Existing loan takeover,10000
1,O_Create Offer,2016-05-17 09:20:19.331845,complete,User_4,Offer,New credit,Existing loan takeover,10000
1,O_Created,2016-05-17 09:20:19.420845,complete,User_40,Offer,New credit,Existing loan takeover,10000
1,A_Complete,2016-05-17 09:20:20.966845,complete,User_78,Application,New credit,Existing loan takeover,10000
1,O_Sent (mail and online),2016-05-17 09:20:20.967845,complete,User_58,Offer,New credit,Existing loan takeover,10000
1,W_Call after offers,2016-05-17 09:20:21.212719,start,User_31,Workflow,New credit,Existing loan takeover,10000
2,W_Handle leads,2016-05-17 09:20:46.339318,complete,User_11,Workflow,New credit,Existing loan takeover,6000
2,W_Complete application,2016-05-17 09:20:46.604615,start,User_16,Workflow,New credit,Existing loan takeover,6000
3,A_Create Application,2016-05-17 09:23:56.862657,complete,User_71,Application,New credit,Car,20000
3,A_Submitted,2016-05-17 09:23:56.960657,complete,User_1,Application,New credit,Car,20000
3,W_Handle leads,2016-05-17 09:23:57.061485,start,User_11,Workflow,New credit,Car,20000
1,W_Call after offers,2016-05-17 09:24:03.401458,complete,User_31,Workflow,New credit,Existing loan takeover,10000
1,O_Create Offer,2016-05-17 09:24:03.864458,complete,User_4,Offer,New credit,Existing loan takeover,10000
1,O_Created,2016-05-17 09:24:03.953458,complete,User_40,Offer,New credit,Existing loan takeover,10000
1,O_Cancelled,2016-05-17 09:24:03.954458,complete,User_109,Offer,New credit,Existing loan takeover,10000
1,O_Cancelled,2016-05-17 09:24:03.955458,complete,User_109,Offer,New credit,Existing loan takeover,10000
1,O_Cancelled,2016-05-17 09:24:03.956458,complete,User_109,Offer,New credit,Existing loan takeover,10000
1,O_Create Offer,2016-05-17 09:24:04.419458,complete,User_63,Offer,New credit,Existing loan takeover,10000
