case:concept:name,concept:name,time:timestamp,lifecycle:transition,org:resource,EventOrigin,case:ApplicationType,case:LoanGoal,case:RequestedAmount
1,A_Create Application,2016-05-17 09:15:00.001000,complete,User_11,Application,New credit,Existing loan takeover,10000
1,A_Submitted,2016-05-17 09:15:00.099000,complete,User_1,Application,New credit,Existing loan takeover,10000
1,W_Handle leads,2016-05-17 09:15:00.162178,start,User_58,Workflow,New credit,Existing loan takeover,10000
2,A_Create Application,2016-05-17 09:16:11.648118,complete,User_31,Application,New credit,Existing loan takeover,6000
2,A_Submitted,2016-05-17 09:16:11.746118,complete,User_1,Application,New credit,Existing loan takeover,6000
2,W_Handle leads,2016-05-17 09:16:12.623169,start,User_59,Workflow,New credit,Existing loan takeover,6000
2,W_Handle leads,2016-05-17 09:16:33.950813,complete,User_59,Workflow,New credit,Existing loan takeover,6000
2,A_Concept,2016-05-17 09:16:33.954813,complete,User_40,Application,New credit,Existing loan takeover,6000
2,W_Complete application,2016-05-17 09:16:34.510462,start,User_49,Workflow,New credit,Existing loan takeover,6000
1,W_Handle leads,2016-05-17 09:18:14.366691,complete,User_58,Workflow,New credit,Existing loan takeover,10000
1,A_Concept,2016-05-17 09:18:14.370691,complete,User_43,Application,New credit,Existing loan takeover,10000
1,W_Complete application,2016-05-17 09:18:14.731894,start,User_2,Workflow,New credit,Existing loan takeover,10000
3,A_Create Application,2016-05-17 09:23:56.862657,complete,User_59,Application,New credit,Car,20000
3,A_Submitted,2016-05-17 09:23:56.960657,complete,User_1,Application,New credit,Car,20000
3,W_Handle leads,2016-05-17 09:23:57.667202,start,User_17,Workflow,New credit,Car,20000
3,W_Handle leads,2016-05-17 09:24:02.442435,complete,User_17,Workflow,New credit,Car,20000
3,A_Concept,2016-05-17 09:24:02.446435,complete,User_132,Application,New credit,Car,20000
3,W_Complete application,2016-05-17 09:24:02.733583,start,User_23,Workflow,New credit,Car,20000
4,A_Create Application,2016-05-17 09:24:50.323532,complete,User_67,Application,New credit,Car,40500
4,A_Submitted,2016-05-17 09:24:50.421532,complete,User_1,Application,New credit,Car,40500
4,W_Handle leads,2016-05-17 09:24:51.309127,start,User_22,Workflow,New credit,Car,40500
3,W_Complete application,2016-05-17 09:25:05.885057,complete,User_23,Workflow,New credit,Car,20000
3,A_Accepted,2016-05-17 09:25:06.909057,complete,User_11,Application,New credit,Car,20000
3,O_Create Offer,2016-05-17 09:25:07.372057,complete,User_96,Offer,New credit,Car,20000
3,O_Created,2016-05-17 09:25:07.461057,complete,User_77,Offer,New credit,Car,20000
3,O_Sent (mail and online),2016-05-17 09:25:07.462057,complete,User_60,Offer,New credit,Car,20000
3,A_Complete,2016-05-17 09:25:09.008057,complete,User_31,Application,New credit,Car,20000
3,W_Call after offers,2016-05-17 09:25:09.920111,start,User_23,Workflow,New credit,Car,20000
4,W_Handle leads,2016-05-17 09:27:16.545244,complete,User_22,Workflow,New credit,Car,40500
4,A_Concept,2016-05-17 09:27:16.549244,complete,User_36,Application,New credit,Car,40500
4,W_Complete application,2016-05-17 09:27:17.523311,start,User_41,Workflow,New credit,Car,40500
4,W_Complete application,2016-05-17 09:30:52.973586,complete,User_41,Workflow,New credit,Car,40500
4,A_Accepted,2016-05-17 09:30:53.997586,complete,User_59,Application,New credit,Car,40500
4,O_Create Offer,2016-05-17 09:30:54.460586,complete,User_60,Offer,New credit,Car,40500
4,O_Created,2016-05-17 09:30:54.549586,complete,User_31,Offer,New credit,Car,40500
4,O_Cancelled,2016-05-17 09:30:54.550586,complete,User_75,Offer,New credit,Car,40500
