case:concept:name,concept:name,time:timestamp,lifecycle:transition,org:resource,EventOrigin,case:ApplicationType,case:LoanGoal,case:RequestedAmount
1,A_Create Application,2016-05-17 09:15:00.001000,complete,User_1,Application,New credit,Existing loan takeover,10000
1,A_Submitted,2016-05-17 09:15:00.099000,complete,User_1,Application,New credit,Existing loan takeover,10000
1,W_Handle leads,2016-05-17 09:15:00.863532,start,User_10,Workflow,New credit,Existing loan takeover,10000
2,A_Create Application,2016-05-17 09:16:11.648118,complete,User_1,Application,New credit,Existing loan takeover,6000
2,A_Submitted,2016-05-17 09:16:11.746118,complete,User_1,Application,New credit,Existing loan takeover,6000
1,W_Handle leads,2016-05-17 09:18:15.068045,complete,User_10,Workflow,New credit,Existing loan takeover,10000
1,A_Concept,2016-05-17 09:18:15.072045,complete,User_1,Application,New credit,Existing loan takeover,10000
2,W_Handle leads,2016-05-17 09:18:15.567965,start,User_10,Workflow,New credit,Existing loan takeover,6000
2,W_Handle leads,2016-05-17 09:18:36.895609,complete,User_10,Workflow,New credit,Existing loan takeover,6000
2,A_Concept,2016-05-17 09:18:36.899609,complete,User_1,Application,New credit,Existing loan takeover,6000
1,W_Complete application,2016-05-17 09:18:37.852581,start,User_10,Workflow,New credit,Existing loan takeover,10000
3,A_Create Application,2016-05-17 09:23:56.862657,complete,User_1,Application,New credit,Car,20000
3,A_Submitted,2016-05-17 09:23:56.960657,complete,User_1,Application,New credit,Car,20000
3,W_Handle leads,2016-05-17 09:23:57.419697,start,User_104,Workflow,New credit,Car,20000
3,W_Handle leads,2016-05-17 09:24:02.194930,complete,User_104,Workflow,New credit,Car,20000
3,A_Concept,2016-05-17 09:24:02.198930,complete,User_1,Application,New credit,Car,20000
3,W_Complete application,2016-05-17 09:24:02.533034,start,User_104,Workflow,New credit,Car,20000
4,A_Create Application,2016-05-17 09:24:50.323532,complete,User_1,Application,New credit,Car,40500
4,A_Submitted,2016-05-17 09:24:50.421532,complete,User_1,Application,New credit,Car,40500
3,W_Complete application,2016-05-17 09:25:05.684508,complete,User_104,Workflow,New credit,Car,20000
4,W_Handle leads,2016-05-17 09:25:06.447342,start,User_104,Workflow,New credit,Car,40500
4,W_Handle leads,2016-05-17 09:27:31.683459,complete,User_104,Workflow,New credit,Car,40500
4,A_Concept,2016-05-17 09:27:31.687459,complete,User_1,Application,New credit,Car,40500
3,A_Accepted,2016-05-17 09:27:32.707459,complete,User_104,Application,New credit,Car,20000
4,W_Complete application,2016-05-17 09:27:33.444329,start,User_104,Workflow,New credit,Car,40500
5,A_Create Application,2016-05-17 09:37:44.460278,complete,User_1,Application,New credit,"Other, see explanation",35000
5,A_Submitted,2016-05-17 09:37:44.558278,complete,User_1,Application,New credit,"Other, see explanation",35000
6,A_Create Application,2016-05-17 09:39:31.025712,complete,User_1,Application,New credit,Car,10500
6,A_Submitted,2016-05-17 09:39:31.123712,complete,User_1,Application,New credit,Car,10500
7,A_Create Application,2016-05-17 09:39:59.351800,complete,User_1,Application,New credit,Existing loan takeover,3000
7,A_Submitted,2016-05-17 09:39:59.449800,complete,User_1,Application,New credit,Existing loan takeover,3000
7,W_Handle leads,2016-05-17 09:39:59.542985,start,User_11,Workflow,New credit,Existing loan takeover,3000
8,A_Create Application,2016-05-17 09:42:48.827706,complete,User_1,Application,Limit raise,Home improvement,20500
8,A_Submitted,2016-05-17 09:42:48.925706,complete,User_1,Application,Limit raise,Home improvement,20500
9,A_Create Application,2016-05-17 09:42:55.361986,complete,User_1,Application,New credit,Car,10000
9,A_Submitted,2016-05-17 09:42:55.459986,complete,User_1,Application,New credit,Car,10000
9,W_Handle leads,2016-05-17 09:42:56.448733,start,User_132,Workflow,New credit,Car,10000
4,W_Complete application,2016-05-17 09:43:07.426447,complete,User_104,Workflow,New credit,Car,40500
3,O_Create Offer,2016-05-17 09:43:07.889447,complete,User_104,Offer,New credit,Car,20000
4,A_Accepted,2016-05-17 09:43:08.913447,complete,User_104,Application,New credit,Car,40500
3,O_Created,2016-05-17 09:43:09.002447,complete,User_104,Offer,New credit,Car,20000
4,O_Create Offer,2016-05-17 09:43:09.465447,complete,User_104,Offer,New credit,Car,40500
3,O_Sent (mail and online),2016-05-17 09:43:09.466447,complete,User_104,Offer,New credit,Car,20000
4,O_Created,2016-05-17 09:43:09.555447,complete,User_104,Offer,New credit,Car,40500
3,A_Complete,2016-05-17 09:43:11.101447,complete,User_104,Application,New credit,Car,20000
4,O_Sent (mail and online),2016-05-17 09:43:11.102447,complete,User_104,Offer,New credit,Car,40500
3,W_Call after offers,2016-05-17 09:43:11.563827,start,User_100,Workflow,New credit,Car,20000
4,A_Complete,2016-05-17 09:43:12.648447,complete,User_104,Application,New credit,Car,40500
10,A_Create Application,2016-05-17 09:44:10.949688,complete,User_1,Application,New credit,Remaining debt home,7000
10,A_Submitted,2016-05-17 09:44:11.047688,complete,User_1,Application,New credit,Remaining debt home,7000
10,W_Handle leads,2016-05-17 09:44:11.698037,start,User_104,Workflow,New credit,Remaining debt home,7000
10,W_Handle leads,2016-05-17 09:44:36.064983,complete,User_104,Workflow,New credit,Remaining debt home,7000
