case:concept:name,concept:name,time:timestamp,lifecycle:transition,org:resource,EventOrigin,case:ApplicationType,case:LoanGoal,case:RequestedAmount
1,A_Create Application,2016-05-17 09:15:00.001000,complete,User_1,Application,New credit,Existing loan takeover,10000
1,A_Submitted,2016-05-17 09:15:00.099000,complete,User_1,Application,New credit,Existing loan takeover,10000
1,W_Handle leads,2016-05-17 09:15:00.327069,start,User_2,Workflow,New credit,Existing loan takeover,10000
2,A_Create Application,2016-05-17 09:16:11.648118,complete,User_1,Application,New credit,Existing loan takeover,6000
2,A_Submitted,2016-05-17 09:16:11.746118,complete,User_1,Application,New credit,Existing loan takeover,6000
1,W_Handle leads,2016-05-17 09:17:47.693277,complete,User_2,Workflow,New credit,Existing loan takeover,10000
1,A_Concept,2016-05-17 09:17:47.697277,complete,User_1,Application,New credit,Existing loan takeover,10000
2,W_Handle leads,2016-05-17 09:17:48.243898,start,User_2,Workflow,New credit,Existing loan takeover,6000
2,W_Handle leads,2016-05-17 09:19:36.858514,complete,User_2,Workflow,New credit,Existing loan takeover,6000
2,A_Concept,2016-05-17 09:19:36.862514,complete,User_1,Application,New credit,Existing loan takeover,6000
1,W_Complete application,2016-05-17 09:19:37.745436,start,User_2,Workflow,New credit,Existing loan takeover,10000
3,A_Create Application,2016-05-17 09:23:56.862657,complete,User_1,Application,New credit,Car,20000
3,A_Submitted,2016-05-17 09:23:56.960657,complete,User_1,Application,New credit,Car,20000
3,W_Handle leads,2016-05-17 09:23:57.661029,start,User_3,Workflow,New credit,Car,20000
4,A_Create Application,2016-05-17 09:24:50.323532,complete,User_1,Application,New credit,Car,40500
4,A_Submitted,2016-05-17 09:24:50.421532,complete,User_1,Application,New credit,Car,40500
3,W_Handle leads,2016-05-17 09:25:01.332390,complete,User_3,Workflow,New credit,Car,20000
3,A_Concept,2016-05-17 09:25:01.336390,complete,User_1,Application,New credit,Car,20000
4,W_Handle leads,2016-05-17 09:25:02.104133,start,User_3,Workflow,New credit,Car,40500
4,W_Handle leads,2016-05-17 09:29:42.164486,complete,User_3,Workflow,New credit,Car,40500
4,A_Concept,2016-05-17 09:29:42.168486,complete,User_1,Application,New credit,Car,40500
3,W_Complete application,2016-05-17 09:29:42.379197,start,User_3,Workflow,New credit,Car,20000
1,W_Complete application,2016-05-17 09:34:19.665709,complete,User_2,Workflow,New credit,Existing loan takeover,10000
2,W_Complete application,2016-05-17 09:34:20.508888,start,User_2,Workflow,New credit,Existing loan takeover,6000
5,A_Create Application,2016-05-17 09:37:44.460278,complete,User_1,Application,New credit,"Other, see explanation",35000
5,A_Submitted,2016-05-17 09:37:44.558278,complete,User_1,Application,New credit,"Other, see explanation",35000
6,A_Create Application,2016-05-17 09:39:31.025712,complete,User_1,Application,New credit,Car,10500
6,A_Submitted,2016-05-17 09:39:31.123712,complete,User_1,Application,New credit,Car,10500
6,W_Handle leads,2016-05-17 09:39:31.395510,start,User_4,Workflow,New credit,Car,10500
7,A_Create Application,2016-05-17 09:39:59.351800,complete,User_1,Application,New credit,Existing loan takeover,3000
7,A_Submitted,2016-05-17 09:39:59.449800,complete,User_1,Application,New credit,Existing loan takeover,3000
6,W_Handle leads,2016-05-17 09:41:23.842176,complete,User_4,Workflow,New credit,Car,10500
6,A_Concept,2016-05-17 09:41:23.846176,complete,User_1,Application,New credit,Car,10500
7,W_Handle leads,2016-05-17 09:41:24.077561,start,User_4,Workflow,New credit,Existing loan takeover,3000
8,A_Create Application,2016-05-17 09:42:48.827706,complete,User_1,Application,Limit raise,Home improvement,20500
8,A_Submitted,2016-05-17 09:42:48.925706,complete,User_1,Application,Limit raise,Home improvement,20500
8,W_Handle leads,2016-05-17 09:42:49.139089,start,User_5,Workflow,Limit raise,Home improvement,20500
7,W_Handle leads,2016-05-17 09:42:53.931730,complete,User_4,Workflow,New credit,Existing loan takeover,3000
7,A_Concept,2016-05-17 09:42:53.935730,complete,User_1,Application,New credit,Existing loan takeover,3000
6,W_Complete application,2016-05-17 09:42:54.808720,start,User_4,Workflow,New credit,Car,10500
9,A_Create Application,2016-05-17 09:42:55.361986,complete,User_1,Application,New credit,Car,10000
9,A_Submitted,2016-05-17 09:42:55.459986,complete,User_1,Application,New credit,Car,10000
3,W_Complete application,2016-05-17 09:42:57.533380,complete,User_3,Workflow,New credit,Car,20000
4,W_Complete application,2016-05-17 09:42:58.532978,start,User_3,Workflow,New credit,Car,40500
10,A_Create Application,2016-05-17 09:44:10.949688,complete,User_1,Application,New credit,Remaining debt home,7000
10,A_Submitted,2016-05-17 09:44:11.047688,complete,User_1,Application,New credit,Remaining debt home,7000
8,W_Handle leads,2016-05-17 09:44:47.331601,complete,User_5,Workflow,Limit raise,Home improvement,20500
8,A_Concept,2016-05-17 09:44:47.335601,complete,User_1,Application,Limit raise,Home improvement,20500
9,W_Handle leads,2016-05-17 09:44:47.477866,start,User_5,Workflow,New credit,Car,10000
2,W_Complete application,2016-05-17 09:46:27.038049,complete,User_2,Workflow,New credit,Existing loan takeover,6000
1,A_Accepted,2016-05-17 09:46:28.062049,complete,User_2,Application,New credit,Existing loan takeover,10000
