case:concept:name,concept:name,time:timestamp,lifecycle:transition,org:resource,EventOrigin,case:ApplicationType,case:LoanGoal,case:RequestedAmount
1,A_Create Application,2016-05-17 09:15:00.001000,complete,User_43,Application,New credit,Existing loan takeover,10000
1,A_Submitted,2016-05-17 09:15:00.099000,complete,User_1,Application,New credit,Existing loan takeover,10000
1,W_Handle leads,2016-05-17 09:15:00.892028,start,User_41,Workflow,New credit,Existing loan takeover,10000
2,A_Create Application,2016-05-17 09:16:11.648118,complete,User_62,Application,New credit,Existing loan takeover,6000
2,A_Submitted,2016-05-17 09:16:11.746118,complete,User_1,Application,New credit,Existing loan takeover,6000
2,W_Handle leads,2016-05-17 09:16:11.855213,start,User_66,Workflow,New credit,Existing loan takeover,6000
1,W_Handle leads,2016-05-17 09:17:48.258236,complete,User_41,Workflow,New credit,Existing loan takeover,10000
1,A_Concept,2016-05-17 09:17:48.262236,complete,User_45,Application,New credit,Existing loan takeover,10000
1,W_Complete application,2016-05-17 09:17:49.229482,start,User_31,Workflow,New credit,Existing loan takeover,10000
2,W_Handle leads,2016-05-17 09:18:00.469829,complete,User_66,Workflow,New credit,Existing loan takeover,6000
2,A_Concept,2016-05-17 09:18:00.473829,complete,User_40,Application,New credit,Existing loan takeover,6000
2,W_Complete application,2016-05-17 09:18:00.688306,start,User_41,Workflow,New credit,Existing loan takeover,6000
3,A_Create Application,2016-05-17 09:23:56.862657,complete,User_5,Application,New credit,Car,20000
3,A_Submitted,2016-05-17 09:23:56.960657,complete,User_1,Application,New credit,Car,20000
3,W_Handle leads,2016-05-17 09:23:57.936577,start,User_77,Workflow,New credit,Car,20000
4,A_Create Application,2016-05-17 09:24:50.323532,complete,User_66,Application,New credit,Car,40500
4,A_Submitted,2016-05-17 09:24:50.421532,complete,User_1,Application,New credit,Car,40500
4,W_Handle leads,2016-05-17 09:24:50.653458,start,User_40,Workflow,New credit,Car,40500
3,W_Handle leads,2016-05-17 09:25:01.607938,complete,User_77,Workflow,New credit,Car,20000
3,A_Concept,2016-05-17 09:25:01.611938,complete,User_77,Application,New credit,Car,20000
3,W_Complete application,2016-05-17 09:25:02.152851,start,User_43,Workflow,New credit,Car,20000
4,W_Handle leads,2016-05-17 09:29:30.713811,complete,User_40,Workflow,New credit,Car,40500
4,A_Concept,2016-05-17 09:29:30.717811,complete,User_62,Application,New credit,Car,40500
4,W_Complete application,2016-05-17 09:29:31.659293,start,User_45,Workflow,New credit,Car,40500
2,W_Complete application,2016-05-17 09:30:06.022839,complete,User_41,Workflow,New credit,Existing loan takeover,6000
2,A_Accepted,2016-05-17 09:30:07.046839,complete,User_28,Application,New credit,Existing loan takeover,6000
2,O_Create Offer,2016-05-17 09:30:07.509839,complete,User_97,Offer,New credit,Existing loan takeover,6000
2,O_Created,2016-05-17 09:30:07.598839,complete,User_60,Offer,New credit,Existing loan takeover,6000
2,O_Cancelled,2016-05-17 09:30:07.599839,complete,User_101,Offer,New credit,Existing loan takeover,6000
