case:concept:name,concept:name,time:timestamp,lifecycle:transition,org:resource,EventOrigin,case:ApplicationType,case:LoanGoal,case:RequestedAmount
1,A_Create Application,2016-05-17 09:15:00.001000,complete,User_1,Application,New credit,Existing loan takeover,10000
1,A_Submitted,2016-05-17 09:15:00.099000,complete,User_1,Application,New credit,Existing loan takeover,10000
1,W_Handle leads,2016-05-17 09:15:00.418956,start,User_10,Workflow,New credit,Existing loan takeover,10000
2,A_Create Application,2016-05-17 09:16:11.648118,complete,User_1,Application,New credit,Existing loan takeover,6000
2,A_Submitted,2016-05-17 09:16:11.746118,complete,User_1,Application,New credit,Existing loan takeover,6000
1,W_Handle leads,2016-05-17 09:17:47.785164,complete,User_10,Workflow,New credit,Existing loan takeover,10000
1,A_Concept,2016-05-17 09:17:47.789164,complete,User_1,Application,New credit,Existing loan takeover,10000
2,W_Handle leads,2016-05-17 09:17:48.777924,start,User_10,Workflow,New credit,Existing loan takeover,6000
2,W_Handle leads,2016-05-17 09:19:37.392540,complete,User_10,Workflow,New credit,Existing loan takeover,6000
1,W_Complete application,2016-05-17 09:19:38.217628,start,User_10,Workflow,New credit,Existing loan takeover,10000
3,A_Create Application,2016-05-17 09:23:56.862657,complete,User_1,Application,New credit,Car,20000
3,A_Submitted,2016-05-17 09:23:56.960657,complete,User_1,Application,New credit,Car,20000
3,W_Handle leads,2016-05-17 09:23:57.055643,start,User_104,Workflow,New credit,Car,20000
4,A_Create Application,2016-05-17 09:24:50.323532,complete,User_1,Application,New credit,Car,40500
4,A_Submitted,2016-05-17 09:24:50.421532,complete,User_1,Application,New credit,Car,40500
3,W_Handle leads,2016-05-17 09:25:00.727004,complete,User_104,Workflow,New credit,Car,20000
4,W_Handle leads,2016-05-17 09:25:00.974473,start,User_104,Workflow,New credit,Car,40500
4,W_Handle leads,2016-05-17 09:29:41.034826,complete,User_104,Workflow,New credit,Car,40500
3,W_Complete application,2016-05-17 09:29:41.098621,start,User_104,Workflow,New credit,Car,20000
1,W_Complete application,2016-05-17 09:34:20.137901,complete,User_10,Workflow,New credit,Existing loan takeover,10000
2,W_Complete application,2016-05-17 09:34:20.445721,start,User_10,Workflow,New credit,Existing loan takeover,6000
5,A_Create Application,2016-05-17 09:37:44.460278,complete,User_1,Application,New credit,"Other, see explanation",35000
5,A_Submitted,2016-05-17 09:37:44.558278,complete,User_1,Application,New credit,"Other, see explanation",35000
6,A_Create Application,2016-05-17 09:39:31.025712,complete,User_1,Application,New credit,Car,10500
6,A_Submitted,2016-05-17 09:39:31.123712,complete,User_1,Application,New credit,Car,10500
7,A_Create Application,2016-05-17 09:39:59.351800,complete,User_1,Application,New credit,Existing loan takeover,3000
7,A_Submitted,2016-05-17 09:39:59.449800,complete,User_1,Application,New credit,Existing loan takeover,3000
7,W_Handle leads,2016-05-17 09:39:59.929111,start,User_11,Workflow,New credit,Existing loan takeover,3000
7,W_Handle leads,2016-05-17 09:41:29.783280,complete,User_11,Workflow,New credit,Existing loan takeover,3000
7,W_Complete application,2016-05-17 09:41:30.123896,start,User_11,Workflow,New credit,Existing loan takeover,3000
8,A_Create Application,2016-05-17 09:42:48.827706,complete,User_1,Application,Limit raise,Home improvement,20500
8,A_Submitted,2016-05-17 09:42:48.925706,complete,User_1,Application,Limit raise,Home improvement,20500
9,A_Create Application,2016-05-17 09:42:55.361986,complete,User_1,Application,New credit,Car,10000
9,A_Submitted,2016-05-17 09:42:55.459986,complete,User_1,Application,New credit,Car,10000
9,W_Handle leads,2016-05-17 09:42:55.860234,start,User_132,Workflow,New credit,Car,10000
3,W_Complete application,2016-05-17 09:42:56.252804,complete,User_104,Workflow,New credit,Car,20000
3,A_Concept,2016-05-17 09:42:56.256804,complete,User_1,Application,New credit,Car,20000
4,W_Complete application,2016-05-17 09:42:57.112497,start,User_104,Workflow,New credit,Car,40500
10,A_Create Application,2016-05-17 09:44:10.949688,complete,User_1,Application,New credit,Remaining debt home,7000
10,A_Submitted,2016-05-17 09:44:11.047688,complete,User_1,Application,New credit,Remaining debt home,7000
9,W_Handle leads,2016-05-17 09:45:56.030916,complete,User_132,Workflow,New credit,Car,10000
10,W_Handle leads,2016-05-17 09:45:56.859048,start,User_132,Workflow,New credit,Remaining debt home,7000
2,W_Complete application,2016-05-17 09:46:26.974882,complete,User_10,Workflow,New credit,Existing loan takeover,6000
2,A_Concept,2016-05-17 09:46:26.978882,complete,User_1,Application,New credit,Existing loan takeover,6000
1,A_Accepted,2016-05-17 09:46:27.998882,complete,User_10,Application,New credit,Existing loan takeover,10000
2,A_Accepted,2016-05-17 09:46:29.022882,complete,User_10,Application,New credit,Existing loan takeover,6000
1,O_Create Offer,2016-05-17 09:46:29.485882,complete,User_10,Offer,New credit,Existing loan takeover,10000
2,O_Create Offer,2016-05-17 09:46:29.948882,complete,User_10,Offer,New credit,Existing loan takeover,6000
1,O_Created,2016-05-17 09:46:30.037882,complete,User_10,Offer,New credit,Existing loan takeover,10000
1,O_Cancelled,2016-05-17 09:46:30.038882,complete,User_1,Offer,New credit,Existing loan takeover,10000
