Resource,DayId,StartTime,EndTime,BreakStart,DurationMin
User_1,0,09:00:00,17:00:00,00:00:00,0
User_1,1,09:00:00,17:00:00,00:00:00,0
User_1,2,09:00:00,17:00:00,00:00:00,0
User_1,3,09:00:00,17:00:00,00:00:00,0
User_1,4,09:00:00,17:00:00,00:00:00,0
User_1,5,09:00:00,17:00:00,00:00:00,0
User_1,6,09:00:00,17:00:00,00:00:00,0
User_2,0,09:00:00,17:00:00,13:00:00,110
User_2,1,09:00:00,17:00:00,13:00:00,115
User_2,2,09:00:00,17:00:00,13:00:00,112
User_2,3,09:00:00,17:00:00,13:00:00,103
User_2,4,09:00:00,17:00:00,13:00:00,100
User_2,5,09:00:00,17:00:00,00:00:00,0
User_3,0,09:00:00,17:00:00,13:00:00,81
User_3,1,09:00:00,17:00:00,13:00:00,81
User_3,2,09:00:00,17:00:00,13:00:00,63
User_3,3,09:00:00,17:00:00,13:00:00,64
User_3,4,09:00:00,17:00:00,13:00:00,91
User_3,5,09:00:00,17:00:00,13:00:00,88
User_4,0,09:00:00,17:00:00,13:00:00,67
User_4,1,09:00:00,17:00:00,13:00:00,67
User_4,2,09:00:00,17:00:00,13:00:00,78
User_4,3,09:00:00,17:00:00,13:00:00,95
User_4,4,09:00:00,17:00:00,13:00:00,80
User_4,5,09:00:00,17:00:00,13:00:00,56
User_5,0,09:00:00,17:00:00,13:00:00,120
User_5,1,09:00:00,17:00:00,13:00:00,107
User_5,2,09:00:00,17:00:00,13:00:00,94
User_5,3,09:00:00,17:00:00,13:00:00,88
User_5,4,09:00:00,17:00:00,13:00:00,108
User_5,5,09:00:00,17:00:00,13:00:00,58
User_6,0,09:00:00,17:00:00,00:00:00,0
User_6,1,09:00:00,17:00:00,13:00:00,160
User_6,2,09:00:00,17:00:00,13:00:00,150
User_6,3,09:00:00,17:00:00,13:00:00,96
User_6,4,09:00:00,17:00:00,00:00:00,0
User_7,0,09:00:00,17:00:00,13:00:00,88
User_7,1,09:00:00,17:00:00,13:00:00,78
User_7,2,09:00:00,17:00:00,13:00:00,102
User_7,3,09:00:00,17:00:00,13:00:00,80
User_7,4,09:00:00,17:00:00,13:00:00,89
User_7,5,09:00:00,17:00:00,13:00:00,91
User_8,0,09:00:00,17:00:00,13:00:00,151
User_8,3,09:00:00,17:00:00,00:00:00,0
User_8,4,09:00:00,17:00:00,13:00:00,88
User_9,0,09:00:00,17:00:00,13:00:00,128
User_9,1,09:00:00,17:00:00,13:00:00,90
User_9,2,09:00:00,17:00:00,00:00:00,0
User_9,3,09:00:00,17:00:00,13:00:00,48
User_9,4,09:00:00,17:00:00,13:00:00,91
User_10,0,09:00:00,17:00:00,13:00:00,88
User_10,1,09:00:00,17:00:00,13:00:00,74
User_10,2,09:00:00,17:00:00,13:00:00,76
User_10,3,09:00:00,17:00:00,13:00:00,66
User_10,4,09:00:00,17:00:00,13:00:00,68
User_10,5,09:00:00,17:00:00,13:00:00,79
User_10,6,09:00:00,17:00:00,13:00:00,71
User_11,0,09:00:00,17:00:00,13:00:00,99
User_11,1,09:00:00,17:00:00,13:00:00,93
User_11,2,09:00:00,17:00:00,13:00:00,56
User_11,3,09:00:00,17:00:00,13:00:00,96
User_11,4,09:00:00,17:00:00,13:00:00,57
User_11,5,09:00:00,17:00:00,13:00:00,117
User_12,0,09:00:00,17:00:00,13:00:00,78
User_12,1,09:00:00,17:00:00,13:00:00,69
User_12,2,09:00:00,17:00:00,13:00:00,63
User_12,3,09:00:00,17:00:00,13:00:00,82
User_12,4,09:00:00,17:00:00,13:00:00,78
User_12,5,09:00:00,17:00:00,13:00:00,83
User_12,6,09:00:00,17:00:00,13:00:00,33
User_13,0,09:00:00,17:00:00,13:00:00,77
User_13,1,09:00:00,17:00:00,13:00:00,98
User_13,2,09:00:00,17:00:00,13:00:00,88
User_13,3,09:00:00,17:00:00,13:00:00,66
User_13,4,09:00:00,17:00:00,13:00:00,98
User_13,5,09:00:00,17:00:00,13:00:00,84
User_14,0,09:00:00,17:00:00,13:00:00,82
User_14,1,09:00:00,17:00:00,13:00:00,100
User_14,2,09:00:00,17:00:00,13:00:00,77
User_14,3,09:00:00,17:00:00,13:00:00,75
User_14,4,09:00:00,17:00:00,13:00:00,88
User_14,5,09:00:00,17:00:00,13:00:00,76
User_14,6,09:00:00,17:00:00,00:00:00,0
User_15,0,09:00:00,17:00:00,13:00:00,73
User_15,1,09:00:00,17:00:00,13:00:00,67
User_15,2,09:00:00,17:00:00,13:00:00,72
User_15,3,09:00:00,17:00:00,13:00:00,74
User_15,4,09:00:00,17:00:00,13:00:00,81
User_15,5,09:00:00,17:00:00,13:00:00,105
User_16,0,09:00:00,17:00:00,13:00:00,71
User_16,1,09:00:00,17:00:00,13:00:00,79
User_16,2,09:00:00,17:00:00,13:00:00,78
User_16,3,09:00:00,17:00:00,13:00:00,84
User_16,4,09:00:00,17:00:00,13:00:00,68
User_17,0,09:00:00,17:00:00,13:00:00,86
User_17,1,09:00:00,17:00:00,13:00:00,112
User_17,2,09:00:00,17:00:00,13:00:00,59
User_17,3,09:00:00,17:00:00,13:00:00,64
User_17,4,09:00:00,17:00:00,13:00:00,107
User_17,5,09:00:00,17:00:00,13:00:00,87
User_18,0,09:00:00,17:00:00,13:00:00,71
User_18,1,09:00:00,17:00:00,13:00:00,59
