Resource,DayId,StartTime,EndTime,BreakStart,DurationMin
User_1,0,04:17:00,22:55:00,00:00:00,0.0
User_1,1,02:25:00,22:56:00,00:00:00,0.0
User_1,2,02:56:00,22:52:00,00:00:00,0.0
User_1,3,03:59:00,22:47:00,00:00:00,0.0
User_1,4,04:17:00,22:48:00,00:00:00,0.0
User_1,5,05:03:00,22:46:00,00:00:00,0.0
User_1,6,04:49:00,22:34:00,00:00:00,0.0
User_2,0,08:24:00,14:52:00,11:16:00,110.0
User_2,1,07:56:00,14:27:00,11:05:00,115.0
User_2,2,08:45:00,14:52:00,10:37:00,112.0
User_2,3,08:34:00,14:48:00,11:41:00,103.0
User_2,4,07:47:00,14:41:00,10:35:00,100.0
User_2,5,09:06:00,15:59:00,00:00:00,0.0
User_3,0,08:07:00,15:38:00,11:31:00,81.0
User_3,1,08:12:00,18:50:00,14:41:00,81.0
User_3,2,08:09:00,15:49:00,11:45:00,63.0
User_3,3,08:20:00,15:47:00,11:15:00,64.0
User_3,4,08:05:00,14:54:00,10:05:00,91.0
User_3,5,10:48:00,15:50:00,11:54:00,88.0
User_4,0,11:43:00,18:32:00,14:20:00,67.0
User_4,1,08:20:00,14:57:00,11:15:00,67.0
User_4,2,07:31:00,11:18:00,08:51:00,78.0
User_4,3,08:25:00,17:32:00,11:37:00,95.0
User_4,4,08:00:00,13:52:00,10:18:00,80.0
User_4,5,09:07:00,15:00:00,10:24:00,56.0
User_5,0,11:56:00,19:00:00,15:05:00,120.0
User_5,1,06:24:00,13:24:00,08:39:00,107.0
User_5,2,09:04:00,15:07:00,12:07:00,94.0
User_5,3,08:28:00,14:29:00,10:34:00,88.0
User_5,4,08:21:00,14:11:00,10:43:00,108.0
User_5,5,09:18:00,15:04:00,11:33:00,58.0
User_6,0,09:18:00,14:45:00,00:00:00,0.0
User_6,1,10:16:00,17:46:00,13:26:00,160.0
User_6,2,09:12:00,15:52:00,11:11:00,150.0
User_6,3,08:18:00,15:22:00,11:31:00,96.0
User_6,4,09:20:00,15:03:00,00:00:00,0.0
User_7,0,11:52:00,19:01:00,16:11:00,88.0
User_7,1,08:29:00,15:42:00,12:26:00,78.0
User_7,2,11:41:00,16:56:00,14:33:00,102.0
User_7,3,08:16:00,14:36:00,11:22:00,80.0
User_7,4,11:59:00,18:06:00,15:54:00,89.0
User_7,5,08:50:00,13:56:00,11:26:00,91.0
User_8,0,11:55:00,18:28:00,14:48:00,151.0
User_8,3,09:07:00,13:59:00,00:00:00,0.0
User_8,4,08:04:00,14:22:00,08:18:00,88.0
User_9,0,07:21:00,13:43:00,09:31:00,128.0
User_9,1,08:21:00,11:30:00,09:28:00,90.0
User_9,2,14:30:00,17:51:00,00:00:00,0.0
User_9,3,10:25:00,13:16:00,12:16:00,48.0
User_9,4,08:20:00,11:35:00,08:30:00,91.0
User_10,0,11:24:00,18:59:00,16:18:00,88.0
User_10,1,12:02:00,18:25:00,13:43:00,74.0
User_10,2,08:25:00,15:50:00,11:31:00,76.0
User_10,3,08:09:00,14:53:00,11:05:00,66.0
User_10,4,08:19:00,14:47:00,10:52:00,68.0
User_10,5,09:09:00,15:23:00,11:39:00,79.0
User_10,6,10:17:00,14:42:00,12:07:00,71.0
User_11,0,08:34:00,18:43:00,15:05:00,99.0
User_11,1,07:41:00,14:52:00,12:03:00,93.0
User_11,2,08:05:00,16:26:00,10:39:00,56.0
User_11,3,08:33:00,15:43:00,11:47:00,96.0
User_11,4,07:29:00,13:27:00,09:51:00,57.0
User_11,5,08:22:00,14:44:00,10:13:00,117.0
User_12,0,08:25:00,16:22:00,11:41:00,78.0
User_12,1,12:51:00,17:41:00,15:22:00,69.0
User_12,2,12:27:00,18:59:00,15:44:00,63.0
User_12,3,12:02:00,18:00:00,13:54:00,82.0
User_12,4,10:18:00,15:55:00,13:48:00,78.0
User_12,5,08:35:00,14:54:00,11:39:00,83.0
User_12,6,10:04:00,14:43:00,10:11:00,33.0
User_13,0,08:06:00,14:57:00,10:39:00,77.0
User_13,1,11:39:00,18:24:00,12:41:00,98.0
User_13,2,08:21:00,11:51:00,09:56:00,88.0
User_13,3,10:56:00,18:16:00,17:10:00,66.0
User_13,4,12:04:00,17:17:00,13:23:00,98.0
User_13,5,09:11:00,15:03:00,11:00:00,84.0
User_14,0,06:58:00,13:09:00,07:59:00,82.0
User_14,1,08:38:00,18:42:00,10:11:00,100.0
User_14,2,07:08:00,14:07:00,08:31:00,77.0
User_14,3,08:37:00,17:40:00,11:09:00,75.0
User_14,4,10:09:00,15:05:00,13:20:00,88.0
User_14,5,10:19:00,15:21:00,11:41:00,76.0
User_14,6,10:17:00,14:29:00,00:00:00,0.0
User_15,0,08:10:00,15:56:00,11:20:00,73.0
User_15,1,08:34:00,14:58:00,13:16:00,67.0
User_15,2,09:18:00,18:37:00,12:41:00,72.0
User_15,3,07:32:00,14:50:00,11:33:00,74.0
User_15,4,11:53:00,18:25:00,15:05:00,81.0
User_15,5,08:46:00,13:16:00,10:00:00,105.0
User_16,0,09:38:00,15:22:00,12:03:00,71.0
User_16,1,11:06:00,15:49:00,12:05:00,79.0
User_16,2,08:00:00,15:05:00,11:33:00,78.0
User_16,3,07:25:00,14:42:00,10:11:00,84.0
User_16,4,08:06:00,14:52:00,11:37:00,68.0
User_17,0,11:45:00,18:23:00,15:18:00,86.0
User_17,1,08:18:00,14:37:00,10:31:00,112.0
User_17,2,11:15:00,14:29:00,11:55:00,59.0
User_17,3,09:46:00,15:50:00,13:40:00,64.0
User_17,4,09:16:00,14:56:00,11:37:00,107.0
User_17,5,08:48:00,14:52:00,11:13:00,87.0
User_18,0,11:29:00,18:58:00,15:18:00,71.0
User_18,1,12:59:00,18:38:00,16:12:00,59.0
User_18,2,08:00:00,14:51:00,11:58:00,88.0
User_18,3,08:09:00,15:31:00,11:20:00,73.0
User_18,4,11:31:00,15:29:00,13:30:00,75.0
User_18,5,09:07:00,15:23:00,10:48:00,75.0
User_19,0,08:23:00,18:54:00,13:29:00,74.0
User_19,1,12:00:00,18:12:00,14:41:00,73.0
User_19,2,08:42:00,18:43:00,14:45:00,63.0
User_19,3,07:17:00,18:25:00,13:51:00,73.0
User_19,4,14:57:00,18:56:00,15:26:00,69.0
User_19,5,09:12:00,15:08:00,11:01:00,72.0
User_20,0,09:06:00,18:45:00,12:18:00,76.0
User_20,1,11:45:00,19:03:00,16:15:00,73.0
User_20,2,15:33:00,18:48:00,15:40:00,84.0
User_20,3,11:16:00,14:42:00,13:46:00,56.0
User_20,4,11:07:00,14:24:00,12:05:00,103.0
User_21,0,08:24:00,15:13:00,11:07:00,93.0
User_21,1,08:16:00,14:58:00,11:20:00,108.0
User_21,2,08:23:00,14:16:00,09:50:00,94.0
User_21,3,08:04:00,14:11:00,10:04:00,58.0
User_21,4,07:45:00,14:52:00,10:09:00,96.0
User_21,5,10:14:00,15:43:00,12:31:00,93.0
User_21,6,10:17:00,14:30:00,11:15:00,44.0
User_22,0,08:49:00,11:46:00,09:43:00,56.0
User_22,1,16:23:00,19:41:00,17:05:00,52.0
User_22,2,14:34:00,17:20:00,14:59:00,68.0
User_22,3,09:06:00,11:27:00,10:01:00,69.0
User_22,4,08:23:00,15:35:00,14:21:00,34.0
User_22,5,09:07:00,13:09:00,11:26:00,38.0
User_23,0,12:29:00,18:49:00,16:20:00,101.0
User_23,1,10:11:00,14:41:00,12:56:00,70.0
User_23,2,09:47:00,18:03:00,15:16:00,75.0
User_23,3,11:25:00,14:43:00,11:52:00,66.0
User_23,4,09:09:00,14:43:00,11:15:00,71.0
User_23,5,08:06:00,11:59:00,08:26:00,92.0
User_24,0,10:12:00,15:56:00,12:19:00,78.0
User_24,1,08:05:00,15:47:00,10:48:00,95.0
User_24,2,08:17:00,15:51:00,12:37:00,84.0
User_24,3,08:23:00,14:53:00,12:05:00,74.0
User_24,4,12:21:00,15:12:00,15:11:00,1.0
User_24,5,09:20:00,15:33:00,11:45:00,72.0
User_25,0,08:17:00,18:29:00,12:29:00,73.0
User_25,1,10:51:00,18:40:00,15:05:00,94.0
User_25,2,08:39:00,14:34:00,10:51:00,64.0
User_25,3,08:34:00,13:22:00,10:16:00,77.0
User_25,4,09:04:00,13:27:00,00:00:00,0.0
User_26,0,08:41:00,13:57:00,10:25:00,96.0
User_26,1,11:43:00,18:40:00,12:54:00,97.0
User_26,2,07:02:00,13:22:00,09:09:00,88.0
User_26,3,09:12:00,13:59:00,10:52:00,82.0
User_26,4,11:38:00,16:42:00,12:26:00,56.0
User_26,5,10:47:00,14:45:00,11:38:00,82.0
User_27,0,07:23:00,14:26:00,10:17:00,67.0
User_27,1,07:34:00,14:17:00,10:15:00,75.0
User_27,2,07:27:00,14:54:00,10:59:00,59.0
User_27,3,07:38:00,14:13:00,10:11:00,75.0
User_27,4,08:14:00,14:51:00,10:28:00,78.0
User_27,5,09:12:00,14:45:00,11:50:00,54.0
User_28,0,07:17:00,14:04:00,09:07:00,76.0
User_28,1,08:21:00,14:55:00,10:16:00,90.0
User_28,2,15:13:00,18:51:00,16:02:00,71.0
User_28,3,11:32:00,18:23:00,16:11:00,93.0
User_28,4,08:28:00,15:21:00,11:26:00,72.0
User_28,5,08:30:00,14:34:00,10:26:00,94.0
User_28,6,10:20:00,14:46:00,11:30:00,16.0
User_29,0,08:21:00,15:11:00,10:56:00,75.0
User_29,1,08:28:00,15:20:00,10:43:00,85.0
User_29,2,08:22:00,15:25:00,11:09:00,83.0
User_29,3,08:21:00,15:19:00,10:50:00,90.0
User_29,4,08:16:00,15:18:00,11:11:00,73.0
User_29,5,14:25:00,18:32:00,15:42:00,60.0
User_29,6,11:51:00,16:04:00,13:41:00,37.0
User_30,0,07:01:00,13:27:00,09:52:00,66.0
User_30,1,07:25:00,13:38:00,10:45:00,84.0
User_30,2,07:06:00,13:35:00,10:58:00,88.0
User_30,3,06:55:00,13:35:00,10:12:00,82.0
User_30,4,07:16:00,13:47:00,10:05:00,65.0
User_31,0,08:17:00,15:11:00,10:29:00,76.0
User_31,1,07:45:00,14:29:00,08:41:00,116.0
User_31,2,09:17:00,15:44:00,12:35:00,83.0
User_31,3,08:33:00,14:31:00,12:18:00,70.0
User_31,4,08:21:00,15:19:00,12:05:00,83.0
User_31,5,08:24:00,14:49:00,10:39:00,140.0
User_32,0,07:25:00,15:06:00,12:50:00,65.0
User_32,1,07:38:00,18:42:00,12:45:00,98.0
User_32,2,07:20:00,15:04:00,11:15:00,72.0
User_32,3,07:05:00,14:18:00,12:07:00,53.0
User_32,5,08:36:00,14:52:00,09:49:00,106.0
User_33,0,10:11:00,14:54:00,13:05:00,95.0
User_33,1,08:14:00,13:20:00,09:52:00,109.0
User_33,2,11:14:00,17:52:00,13:11:00,114.0
User_33,3,08:17:00,11:25:00,08:37:00,67.0
User_33,4,12:04:00,17:21:00,14:20:00,62.0
User_33,6,10:21:00,14:28:00,13:26:00,36.0
User_34,0,12:16:00,18:48:00,15:02:00,90.0
User_34,1,12:20:00,19:19:00,16:37:00,58.0
User_34,2,08:34:00,15:15:00,11:18:00,96.0
User_34,3,14:29:00,19:10:00,17:32:00,98.0
User_34,4,09:03:00,14:16:00,11:31:00,72.0
User_35,0,11:28:00,18:30:00,15:48:00,79.0
User_35,1,08:13:00,15:18:00,11:05:00,87.0
User_35,2,10:09:00,15:41:00,13:28:00,75.0
User_35,3,08:35:00,15:54:00,15:33:00,21.0
User_35,4,12:12:00,18:40:00,15:17:00,114.0
User_35,5,08:26:00,14:20:00,10:35:00,88.0
User_35,6,10:55:00,13:44:00,12:34:00,42.0
User_36,0,12:09:00,18:55:00,15:24:00,71.0
User_36,1,08:11:00,15:23:00,10:52:00,96.0
User_36,2,10:57:00,16:07:00,12:11:00,111.0
User_36,3,08:56:00,14:56:00,10:52:00,80.0
User_36,4,08:12:00,14:45:00,11:48:00,64.0
User_36,5,09:06:00,14:41:00,10:52:00,85.0
User_37,0,08:29:00,18:30:00,15:33:00,67.0
User_37,1,09:54:00,17:06:00,14:58:00,63.0
User_37,2,11:07:00,18:41:00,15:33:00,86.0
User_37,3,11:13:00,18:44:00,14:30:00,76.0
User_37,4,08:28:00,15:37:00,12:09:00,56.0
User_37,5,08:56:00,14:56:00,10:56:00,83.0
User_38,0,08:18:00,14:25:00,10:46:00,86.0
User_38,1,08:12:00,11:54:00,09:50:00,82.0
User_38,2,13:21:00,17:30:00,14:58:00,85.0
User_38,3,11:20:00,15:23:00,13:22:00,92.0
User_38,4,16:12:00,18:51:00,16:36:00,59.0
User_38,5,09:33:00,15:27:00,12:32:00,96.0
User_38,6,10:07:00,14:25:00,13:01:00,32.0
User_39,0,11:06:00,18:35:00,15:16:00,81.0
User_39,1,11:50:00,15:29:00,14:24:00,65.0
User_39,2,10:28:00,17:57:00,14:33:00,91.0
User_39,3,11:37:00,18:47:00,15:58:00,74.0
User_39,4,10:36:00,15:10:00,12:35:00,88.0
User_39,5,09:11:00,14:43:00,10:34:00,90.0
User_39,6,10:29:00,14:50:00,12:39:00,27.0
User_40,0,08:00:00,14:58:00,11:08:00,74.0
User_40,1,15:14:00,18:36:00,16:17:00,58.0
User_40,2,10:58:00,16:59:00,15:22:00,64.0
User_40,3,12:24:00,18:17:00,15:25:00,80.0
User_40,4,07:44:00,14:16:00,10:28:00,96.0
User_40,5,08:15:00,14:55:00,10:33:00,116.0
User_41,0,10:48:00,18:00:00,12:45:00,87.0
User_41,1,08:17:00,14:46:00,11:03:00,71.0
User_41,2,10:43:00,18:29:00,13:11:00,86.0
User_41,3,08:02:00,14:47:00,09:28:00,82.0
User_41,4,08:25:00,14:57:00,11:07:00,79.0
User_41,5,09:46:00,15:51:00,11:22:00,91.0
User_42,0,11:23:00,18:28:00,15:26:00,85.0
User_42,1,08:00:00,14:59:00,11:14:00,76.0
User_42,2,08:00:00,15:43:00,12:11:00,76.0
User_42,3,07:49:00,14:52:00,11:16:00,77.0
User_42,4,07:24:00,11:12:00,09:18:00,77.0
User_42,5,09:20:00,12:33:00,09:37:00,43.0
User_42,6,10:15:00,14:17:00,13:13:00,45.0
User_43,0,16:00:00,19:17:00,17:02:00,49.0
User_43,1,10:31:00,18:37:00,16:13:00,100.0
User_43,2,08:40:00,15:36:00,11:24:00,99.0
User_43,3,08:25:00,16:31:00,12:00:00,95.0
User_43,4,07:30:00,13:29:00,10:31:00,91.0
User_43,5,09:08:00,15:02:00,10:09:00,106.0
User_44,0,15:17:00,18:59:00,16:12:00,52.0
User_44,1,15:25:00,18:56:00,16:22:00,73.0
User_44,2,10:55:00,18:59:00,11:26:00,79.0
User_44,3,12:14:00,17:00:00,14:36:00,69.0
User_44,4,14:15:00,18:46:00,16:42:00,86.0
User_44,5,09:15:00,14:57:00,11:34:00,89.0
User_44,6,10:07:00,14:27:00,13:50:00,24.0
User_45,0,07:32:00,15:30:00,10:24:00,85.0
User_45,1,07:59:00,15:53:00,11:09:00,105.0
User_45,2,08:08:00,14:40:00,11:22:00,68.0
User_45,3,07:43:00,13:43:00,09:43:00,56.0
User_45,4,07:25:00,14:35:00,09:38:00,79.0
User_45,5,10:30:00,14:13:00,12:00:00,58.0
User_46,0,09:51:00,18:32:00,12:15:00,72.0
User_46,1,11:04:00,18:01:00,13:14:00,75.0
User_46,2,11:52:00,18:52:00,15:14:00,78.0
User_46,3,11:25:00,18:52:00,14:35:00,62.0
User_46,4,12:37:00,18:37:00,15:11:00,72.0
User_46,5,08:07:00,14:50:00,11:15:00,61.0
User_47,0,08:14:00,13:27:00,09:24:00,96.0
User_47,1,09:42:00,12:49:00,11:03:00,62.0
User_47,2,08:31:00,12:15:00,10:05:00,82.0
User_47,3,09:14:00,13:53:00,10:37:00,76.0
User_47,4,08:04:00,14:20:00,09:03:00,68.0
User_47,5,08:19:00,12:00:00,10:05:00,99.0
User_48,0,11:29:00,18:26:00,15:09:00,98.0
User_48,1,07:42:00,14:48:00,11:16:00,90.0
User_48,2,11:19:00,18:37:00,12:31:00,116.0
User_48,3,08:00:00,14:46:00,10:01:00,96.0
User_48,4,11:15:00,17:58:00,13:43:00,85.0
User_48,5,10:14:00,14:24:00,10:48:00,59.0
User_49,0,08:12:00,14:43:00,11:15:00,54.0
User_49,1,08:13:00,15:28:00,12:11:00,54.0
User_49,2,08:08:00,14:56:00,11:13:00,54.0
User_49,3,08:12:00,14:58:00,11:22:00,72.0
User_49,4,09:03:00,14:49:00,11:58:00,58.0
User_49,5,09:03:00,14:42:00,11:24:00,69.0
User_49,6,10:20:00,14:35:00,11:32:00,48.0
User_50,1,09:49:00,15:02:00,10:50:00,91.0
User_50,2,13:39:00,15:46:00,14:52:00,53.0
User_50,3,14:08:00,19:57:00,00:00:00,0.0
User_50,4,10:31:00,13:58:00,10:37:00,141.0
User_50,5,09:14:00,14:20:00,10:37:00,159.0
User_51,0,08:13:00,15:05:00,11:32:00,87.0
User_51,1,08:28:00,15:50:00,12:26:00,84.0
User_51,2,11:13:00,15:46:00,12:16:00,100.0
User_51,3,11:33:00,18:22:00,14:43:00,59.0
User_51,4,13:06:00,18:29:00,13:50:00,73.0
User_51,5,09:04:00,14:43:00,13:43:00,60.0
User_52,0,13:24:00,18:42:00,15:16:00,84.0
User_52,1,13:42:00,18:45:00,15:42:00,111.0
User_52,2,13:17:00,18:30:00,15:26:00,95.0
User_52,3,11:37:00,18:43:00,15:14:00,115.0
User_52,4,11:41:00,18:33:00,13:58:00,104.0
User_52,5,09:09:00,14:48:00,11:12:00,96.0
User_52,6,10:20:00,13:49:00,12:07:00,95.0
User_53,0,08:04:00,14:42:00,10:43:00,69.0
User_53,1,07:40:00,12:02:00,09:45:00,50.0
User_53,2,08:46:00,14:48:00,10:54:00,97.0
User_53,3,08:29:00,11:49:00,09:37:00,53.0
User_53,4,11:16:00,18:37:00,12:26:00,94.0
User_54,0,07:39:00,14:53:00,11:11:00,54.0
User_54,1,09:59:00,17:17:00,12:44:00,59.0
User_54,2,11:20:00,18:32:00,00:00:00,0.0
User_54,3,08:09:00,14:09:00,10:16:00,60.0
User_54,4,07:36:00,14:42:00,09:07:00,77.0
User_54,5,08:38:00,14:34:00,12:04:00,74.0
User_55,0,08:05:00,14:19:00,09:50:00,44.0
User_55,1,07:21:00,14:51:00,09:51:00,84.0
User_55,2,07:17:00,14:54:00,09:26:00,74.0
User_55,3,08:16:00,13:18:00,11:09:00,62.0
User_55,4,10:19:00,15:04:00,13:03:00,65.0
User_56,0,13:33:00,18:48:00,15:09:00,52.0
User_56,1,08:09:00,14:52:00,12:28:00,61.0
User_56,2,08:25:00,15:00:00,09:52:00,66.0
