Resource,DayId,StartTime,EndTime
User_1,0,04:54:00,23:00:00
User_1,1,02:54:00,23:00:00
User_1,2,03:25:00,23:00:00
User_1,3,03:57:00,23:00:00
User_1,4,04:37:00,23:00:00
User_1,5,05:44:00,23:00:00
User_1,6,04:58:00,22:27:00
User_2,0,07:53:00,14:47:00
User_2,1,07:39:00,14:42:00
User_2,2,07:50:00,14:53:00
User_2,3,08:43:00,14:39:00
User_2,4,07:47:00,14:27:00
User_3,0,08:07:00,15:57:00
User_3,1,07:59:00,18:52:00
User_3,2,07:59:00,15:52:00
User_3,3,08:16:00,15:56:00
User_3,4,07:57:00,14:59:00
User_4,0,11:43:00,18:34:00
User_4,1,08:07:00,14:59:00
User_4,2,07:25:00,11:33:00
User_4,3,08:19:00,17:39:00
User_4,4,08:09:00,14:59:00
User_5,0,12:04:00,19:00:00
User_5,1,06:30:00,13:32:00
User_5,2,08:48:00,14:53:00
User_5,3,08:15:00,14:37:00
User_5,4,08:13:00,14:36:00
User_5,5,08:57:00,15:11:00
User_7,0,11:50:00,19:04:00
User_7,1,08:21:00,15:57:00
User_7,2,11:19:00,18:43:00
User_7,3,08:15:00,14:45:00
User_7,4,11:41:00,18:40:00
User_7,5,08:17:00,14:09:00
User_8,0,11:55:00,18:30:00
User_8,4,09:16:00,10:55:00
User_9,2,13:51:00,17:04:00
User_10,0,11:38:00,18:59:00
User_10,1,11:39:00,17:43:00
User_10,2,08:42:00,14:53:00
User_10,3,09:05:00,14:54:00
User_10,4,08:34:00,14:48:00
User_10,5,09:11:00,15:43:00
User_11,0,08:16:00,19:00:00
User_11,1,07:50:00,14:59:00
User_11,2,08:22:00,16:57:00
User_11,3,08:31:00,15:36:00
User_11,4,07:42:00,14:34:00
User_12,0,08:41:00,17:14:00
User_12,1,13:01:00,17:46:00
User_12,2,12:47:00,18:25:00
User_12,3,12:14:00,17:41:00
User_12,4,10:46:00,15:54:00
User_12,5,08:24:00,15:01:00
User_13,0,08:04:00,14:59:00
User_13,1,10:30:00,18:45:00
User_13,2,08:32:00,11:57:00
User_13,3,12:02:00,18:14:00
User_13,4,13:39:00,18:29:00
User_13,5,09:11:00,15:10:00
User_14,0,07:03:00,13:28:00
User_14,1,08:05:00,18:38:00
User_14,2,07:16:00,14:24:00
User_14,3,08:40:00,15:24:00
User_14,4,10:49:00,15:26:00
User_15,0,08:02:00,15:57:00
