Resource,Role
User_10,Role_1
User_100,Role_2
User_101,Role_2
User_102,Role_2
User_103,Role_4
User_104,Role_1
User_105,Role_1
User_106,Role_2
User_107,Role_4
User_108,Role_1
User_109,Role_2
User_11,Role_1
User_110,Role_1
User_111,Role_1
User_112,Role_3
User_113,Role_3
User_114,Role_3
User_115,Role_2
User_116,Role_3
User_117,Role_3
User_118,Role_3
User_119,Role_3
User_12,Role_1
User_120,Role_3
User_121,Role_3
User_122,Role_3
User_123,Role_3
User_124,Role_2
User_125,Role_3
User_126,Role_3
User_127,Role_3
User_128,Role_4
User_129,Role_4
User_13,Role_1
User_130,Role_3
User_131,Role_3
User_132,Role_1
User_133,Role_3
User_134,Role_3
User_135,Role_1
User_136,Role_2
User_137,Role_3
User_138,Role_5
User_139,Role_1
User_14,Role_1
User_140,Role_3
User_141,Role_1
User_142,Role_1
User_143,Role_5
User_144,Role_5
User_15,Role_1
User_16,Role_1
User_17,Role_1
User_18,Role_1
User_19,Role_1
User_2,Role_1
User_20,Role_1
User_21,Role_1
User_22,Role_1
User_23,Role_1
User_24,Role_1
User_25,Role_1
User_26,Role_1
User_27,Role_3
User_28,Role_1
User_29,Role_2
User_3,Role_1
User_30,Role_2
User_31,Role_1
User_32,Role_1
User_33,Role_1
User_34,Role_1
User_35,Role_1
User_36,Role_1
User_37,Role_1
User_38,Role_1
User_39,Role_1
User_4,Role_1
User_40,Role_1
User_41,Role_1
User_42,Role_1
User_43,Role_1
User_44,Role_1
User_45,Role_1
User_46,Role_1
User_47,Role_1
User_48,Role_1
User_49,Role_1
User_5,Role_1
User_50,Role_1
User_51,Role_1
User_52,Role_1
User_53,Role_1
User_54,Role_1
User_55,Role_1
User_56,Role_1
User_57,Role_1
User_58,Role_1
User_59,Role_1
User_6,Role_1
User_60,Role_1
User_61,Role_1
User_62,Role_1
User_63,Role_1
User_64,Role_1
User_65,Role_1
User_66,Role_1
User_67,Role_1
User_68,Role_2
User_69,Role_1
User_7,Role_1
User_70,Role_1
User_71,Role_1
User_72,Role_1
User_73,Role_1
User_74,Role_1
User_75,Role_2
User_76,Role_1
User_77,Role_1
User_78,Role_1
User_79,Role_1
User_8,Role_1
User_80,Role_1
User_81,Role_1
User_82,Role_1
User_83,Role_2
User_84,Role_1
User_85,Role_1
User_86,Role_1
User_87,Role_2
User_88,Role_1
User_89,Role_1
User_9,Role_1
User_90,Role_2
User_91,Role_1
User_92,Role_1
User_93,Role_2
User_94,Role_1
User_95,Role_2
User_96,Role_1
User_97,Role_1
User_98,Role_1
User_99,Role_2
User_1,Role_0
