Activity,Resource
A_Create Application,User_1
A_Submitted,User_1
A_Concept,User_1
A_Accepted,User_52
O_Create Offer,User_52
O_Created,User_52
O_Sent (mail and online),User_52
A_Complete,User_52
A_Validating,User_117
O_Returned,User_117
A_Incomplete,User_115
O_Accepted,User_115
A_Pending,User_115
A_Accepted,User_38
O_Create Offer,User_38
O_Created,User_38
O_Sent (mail and online),User_38
W_Complete application,User_38
A_Complete,User_38
A_Validating,User_119
A_Denied,User_68
O_Refused,User_68
W_Validate application,User_68
A_Accepted,User_19
O_Create Offer,User_19
O_Created,User_19
O_Sent (mail and online),User_19
W_Complete application,User_19
A_Complete,User_19
O_Cancelled,User_19
A_Validating,User_116
O_Returned,User_116
A_Incomplete,User_101
A_Validating,User_31
O_Accepted,User_90
A_Pending,User_90
W_Handle leads,User_17
A_Concept,User_17
O_Create Offer,User_12
O_Created,User_12a
O_Sent (mail and online),User_12
O_Returned,User_119
A_Incomplete,User_114
A_Validating,User_118
W_Validate application,User_95
A_Incomplete,User_95
O_Accepted,User_95
A_Pending,User_95
O_Cancelled,User_95
A_Cancelled,User_1
O_Cancelled,User_1
A_Accepted,User_17
O_Create Offer,User_17
O_Created,User_17
O_Sent (mail and online),User_17
W_Complete application,User_17
A_Complete,User_17
O_Create Offer,User_8
O_Created,User_8
O_Sent (mail and online),User_8
A_Accepted,User_3
O_Create Offer,User_3
O_Created,User_3
O_Sent (mail and online),User_3
A_Complete,User_3
A_Validating,User_113
O_Returned,User_113
A_Incomplete,User_100
A_Cancelled,User_27
O_Cancelled,User_27
W_Complete application,User_3
A_Denied,User_99
O_Refused,User_99
W_Validate application,User_99
O_Returned,User_118
O_Accepted,User_119
A_Pending,User_119
A_Accepted,User_31
O_Create Offer,User_31
O_Created,User_31
O_Sent (mail and online),User_31
W_Complete application,User_31
A_Complete,User_31
A_Validating,User_112
O_Returned,User_112
A_Validating,User_114
O_Accepted,User_75
A_Pending,User_75
W_Validate application,User_87
A_Incomplete,User_87
O_Accepted,User_87
A_Pending,User_87
A_Denied,User_95
O_Refused,User_95
A_Accepted,User_43
O_Create Offer,User_43
O_Created,User_43
O_Sent (mail and online),User_43
W_Complete application,User_43
A_Complete,User_43
A_Cancelled,User_8
O_Cancelled,User_8
A_Accepted,User_16
O_Create Offer,User_16
O_Created,User_16
O_Sent (mail and online),User_16
W_Complete application,User_16
A_Complete,User_16
A_Accepted,User_21
O_Create Offer,User_21
O_Created,User_21
O_Sent (mail and online),User_21
A_Complete,User_21
A_Incomplete,User_75
