Role,Activity
Role_0,A_Cancelled
Role_0,A_Concept
Role_0,A_Create Application
Role_0,A_Submitted
Role_0,O_Cancelled
Role_1,A_Denied
Role_1,A_Incomplete
Role_1,A_Pending
Role_1,O_Accepted
Role_1,O_Cancelled
Role_1,O_Refused
Role_1,O_Returned
Role_1,W_Validate application
Role_2,A_Accepted
Role_2,A_Cancelled
Role_2,A_Complete
Role_2,A_Concept
Role_2,A_Create Application
Role_2,A_Validating
Role_2,O_Cancelled
Role_2,O_Create Offer
Role_2,O_Created
Role_2,O_Sent (mail and online)
Role_2,W_Call incomplete files
Role_2,W_Complete application
Role_2,W_Handle leads
Role_3,A_Incomplete
Role_3,A_Pending
Role_3,A_Validating
Role_3,O_Accepted
Role_3,O_Cancelled
Role_3,O_Returned
Role_3,W_Validate application
Role_4,A_Denied
Role_4,O_Refused
Role_5,A_Incomplete
Role_5,O_Refused
Role_6,A_Concept
Role_6,A_Create Application
Role_6,W_Handle leads
Role_1,W_Call after offers
