case:concept:name,concept:name,time:timestamp,lifecycle:transition,org:resource
1,A_Create Application,2016-01-01 09:15:00.001000,complete,User_1
1,A_Submitted,2016-01-01 09:15:00.099000,complete,User_1
2,A_Create Application,2016-01-01 09:27:22.580160,complete,User_1
2,A_Submitted,2016-01-01 09:27:22.678160,complete,User_1
3,A_Create Application,2016-01-01 09:49:27.165839,complete,User_1
3,A_Submitted,2016-01-01 09:49:27.263839,complete,User_1
4,A_Create Application,2016-01-01 09:53:54.172802,complete,User_1
4,A_Submitted,2016-01-01 09:53:54.270802,complete,User_1
5,A_Create Application,2016-01-01 10:11:55.816542,complete,User_1
5,A_Submitted,2016-01-01 10:11:55.914542,complete,User_1
6,A_Create Application,2016-01-01 10:38:59.584976,complete,User_1
6,A_Submitted,2016-01-01 10:38:59.682976,complete,User_1
7,A_Create Application,2016-01-01 10:51:22.304886,complete,User_1
7,A_Submitted,2016-01-01 10:51:22.402886,complete,User_1
8,A_Create Application,2016-01-01 10:58:19.474381,complete,User_1
8,A_Submitted,2016-01-01 10:58:19.572381,complete,User_1
9,A_Create Application,2016-01-01 11:05:48.179957,complete,User_1
9,A_Submitted,2016-01-01 11:05:48.277957,complete,User_1
10,A_Create Application,2016-01-01 11:36:13.414713,complete,User_1
10,A_Submitted,2016-01-01 11:36:13.512713,complete,User_1
11,A_Create Application,2016-01-01 11:48:25.662784,complete,User_1
11,A_Submitted,2016-01-01 11:48:25.760784,complete,User_1
12,A_Create Application,2016-01-01 11:50:50.980719,complete,User_1
12,A_Submitted,2016-01-01 11:50:51.078719,complete,User_1
13,A_Create Application,2016-01-01 11:59:45.241009,complete,User_1
13,A_Submitted,2016-01-01 11:59:45.339009,complete,User_1
14,A_Create Application,2016-01-01 12:04:47.252117,complete,User_1
14,A_Submitted,2016-01-01 12:04:47.350117,complete,User_1
15,A_Create Application,2016-01-01 12:06:03.606146,complete,User_1
15,A_Submitted,2016-01-01 12:06:03.704146,complete,User_1
16,A_Create Application,2016-01-01 12:13:40.434792,complete,User_1
16,A_Submitted,2016-01-01 12:13:40.532792,complete,User_1
17,A_Create Application,2016-01-01 12:13:58.048191,complete,User_1
17,A_Submitted,2016-01-01 12:13:58.146191,complete,User_1
18,A_Create Application,2016-01-01 12:16:40.705971,complete,User_1
18,A_Submitted,2016-01-01 12:16:40.803971,complete,User_1
19,A_Create Application,2016-01-01 12:17:21.797669,complete,User_1
19,A_Submitted,2016-01-01 12:17:21.895669,complete,User_1
20,A_Create Application,2016-01-01 12:26:17.759253,complete,User_1
20,A_Submitted,2016-01-01 12:26:17.857253,complete,User_1
21,A_Create Application,2016-01-01 12:28:44.781223,complete,User_1
21,A_Submitted,2016-01-01 12:28:44.879223,complete,User_1
22,A_Create Application,2016-01-01 12:33:51.196811,complete,User_1
22,A_Submitted,2016-01-01 12:33:51.294811,complete,User_1
23,A_Create Application,2016-01-01 12:40:36.343572,complete,User_1
23,A_Submitted,2016-01-01 12:40:36.441572,complete,User_1
24,A_Create Application,2016-01-01 12:51:32.054214,complete,User_1
24,A_Submitted,2016-01-01 12:51:32.152214,complete,User_1
25,A_Create Application,2016-01-01 12:56:14.955046,complete,User_1
25,A_Submitted,2016-01-01 12:56:15.053046,complete,User_1
26,A_Create Application,2016-01-01 13:01:55.561878,complete,User_1
26,A_Submitted,2016-01-01 13:01:55.659878,complete,User_1
27,A_Create Application,2016-01-01 13:18:55.631973,complete,User_1
27,A_Submitted,2016-01-01 13:18:55.729973,complete,User_1
28,A_Create Application,2016-01-01 14:15:53.569599,complete,User_1
28,A_Submitted,2016-01-01 14:15:53.667599,complete,User_1
29,A_Create Application,2016-01-01 14:23:44.275844,complete,User_1
29,A_Submitted,2016-01-01 14:23:44.373844,complete,User_1
30,A_Create Application,2016-01-01 14:27:31.867669,complete,User_1
30,A_Submitted,2016-01-01 14:27:31.965669,complete,User_1
31,A_Create Application,2016-01-01 14:54:52.372323,complete,User_1
31,A_Submitted,2016-01-01 14:54:52.470323,complete,User_1
32,A_Create Application,2016-01-01 15:02:49.619952,complete,User_1
