case:concept:name,concept:name,time:timestamp,lifecycle:transition,org:resource,EventOrigin,case:ApplicationType,case:LoanGoal,case:RequestedAmount
5,A_Create Application,2016-05-17 09:37:44.460278,complete,User_108,Application,New credit,"Other, see explanation",35000
3,A_Create Application,2016-05-17 09:38:56.862657,complete,User_104,Application,New credit,Car,20000
4,A_Create Application,2016-05-17 09:39:50.323532,complete,User_105,Application,New credit,Car,40500
7,A_Create Application,2016-05-17 09:39:59.351800,complete,User_104,Application,New credit,Existing loan takeover,3000
1,A_Create Application,2016-05-17 09:45:00.001000,complete,User_1,Application,New credit,Existing loan takeover,10000
5,A_Submitted,2016-05-17 09:45:00.099000,complete,User_1,Application,New credit,"Other, see explanation",35000
3,A_Submitted,2016-05-17 09:45:00.197000,complete,User_1,Application,New credit,Car,20000
4,A_Submitted,2016-05-17 09:45:00.295000,complete,User_1,Application,New credit,Car,40500
7,A_Submitted,2016-05-17 09:45:00.393000,complete,User_1,Application,New credit,Existing loan takeover,3000
1,A_Submitted,2016-05-17 09:45:00.491000,complete,User_1,Application,New credit,Existing loan takeover,10000
1,W_Handle leads,2016-05-17 09:45:01.446879,start,User_11,Workflow,New credit,Existing loan takeover,10000
1,W_Handle leads,2016-05-17 09:45:11.142959,complete,User_11,Workflow,New credit,Existing loan takeover,10000
2,A_Create Application,2016-05-17 09:46:11.648118,complete,User_10,Application,New credit,Existing loan takeover,6000
6,A_Create Application,2016-05-17 09:46:11.649118,complete,User_10,Application,New credit,Car,10500
8,A_Create Application,2016-05-17 09:46:11.650118,complete,User_10,Application,Limit raise,Home improvement,20500
7,W_Handle leads,2016-05-17 09:50:01.810140,complete,User_10,Workflow,New credit,Existing loan takeover,3000
7,W_Handle leads,2016-05-17 09:50:02.792881,start,User_10,Workflow,New credit,Existing loan takeover,3000
7,W_Handle leads,2016-05-17 09:50:22.527754,complete,User_10,Workflow,New credit,Existing loan takeover,3000
7,A_Concept,2016-05-17 09:50:22.531754,complete,User_104,Application,New credit,Existing loan takeover,3000
5,W_Handle leads,2016-05-17 09:52:44.716547,start,User_105,Workflow,New credit,"Other, see explanation",35000
4,W_Handle leads,2016-05-17 09:53:29.427531,complete,User_104,Workflow,New credit,Car,40500
7,A_Concept,2016-05-17 09:53:30.306229,start,User_104,Application,New credit,Existing loan takeover,3000
7,A_Concept,2016-05-17 09:53:30.310229,complete,User_104,Application,New credit,Existing loan takeover,3000
3,W_Handle leads,2016-05-17 09:53:57.214859,start,User_108,Workflow,New credit,Car,20000
5,W_Handle leads,2016-05-17 09:54:05.373940,complete,User_105,Workflow,New credit,"Other, see explanation",35000
5,A_Concept,2016-05-17 09:54:05.377940,complete,User_1,Application,New credit,"Other, see explanation",35000
6,A_Submitted,2016-05-17 09:54:05.475940,complete,User_1,Application,New credit,Car,10500
8,A_Submitted,2016-05-17 09:54:05.573940,complete,User_1,Application,Limit raise,Home improvement,20500
5,A_Concept,2016-05-17 09:54:05.577940,complete,User_1,Application,New credit,"Other, see explanation",35000
5,W_Handle leads,2016-05-17 09:54:05.976885,start,User_105,Workflow,New credit,"Other, see explanation",35000
4,W_Handle leads,2016-05-17 09:54:51.135957,start,User_104,Workflow,New credit,Car,40500
7,W_Complete application,2016-05-17 09:55:00.110289,start,User_10,Workflow,New credit,Existing loan takeover,3000
3,W_Handle leads,2016-05-17 09:55:25.531882,complete,User_108,Workflow,New credit,Car,20000
13,A_Create Application,2016-05-17 09:55:25.828783,start,User_108,Application,New credit,Caravan / Camper,22500
13,A_Create Application,2016-05-17 09:55:25.829783,complete,User_108,Application,New credit,Caravan / Camper,22500
13,A_Submitted,2016-05-17 09:55:25.927783,complete,User_1,Application,New credit,Caravan / Camper,22500
4,W_Handle leads,2016-05-17 09:55:58.232988,complete,User_104,Workflow,New credit,Car,40500
5,W_Complete application,2016-05-17 09:55:58.523172,start,User_104,Workflow,New credit,"Other, see explanation",35000
5,W_Handle leads,2016-05-17 09:56:00.681065,complete,User_105,Workflow,New credit,"Other, see explanation",35000
12,A_Create Application,2016-05-17 09:56:00.748143,start,User_105,Application,New credit,Existing loan takeover,12500
12,A_Create Application,2016-05-17 09:56:00.749143,complete,User_105,Application,New credit,Existing loan takeover,12500
8,W_Handle leads,2016-05-17 09:58:03.786744,complete,User_105,Workflow,Limit raise,Home improvement,20500
8,W_Handle leads,2016-05-17 09:58:03.895297,start,User_105,Workflow,Limit raise,Home improvement,20500
7,W_Complete application,2016-05-17 09:58:26.074529,complete,User_10,Workflow,New credit,Existing loan takeover,3000
7,W_Complete application,2016-05-17 09:58:26.107299,start,User_10,Workflow,New credit,Existing loan takeover,3000
3,A_Concept,2016-05-17 10:00:00.201000,complete,User_11,Application,New credit,Car,20000
8,W_Handle leads,2016-05-17 10:00:06.488097,complete,User_105,Workflow,Limit raise,Home improvement,20500
4,A_Concept,2016-05-17 10:00:07.034578,start,User_105,Application,New credit,Car,40500
4,A_Concept,2016-05-17 10:00:07.038578,complete,User_105,Application,New credit,Car,40500
2,A_Submitted,2016-05-17 10:01:11.746118,complete,User_1,Application,New credit,Existing loan takeover,6000
6,W_Handle leads,2016-05-17 10:01:12.271519,start,User_108,Workflow,New credit,Car,10500
2,W_Handle leads,2016-05-17 10:01:12.549158,start,User_105,Workflow,New credit,Existing loan takeover,6000
2,W_Handle leads,2016-05-17 10:01:45.283427,complete,User_105,Workflow,New credit,Existing loan takeover,6000
6,W_Handle leads,2016-05-17 10:02:24.787723,complete,User_108,Workflow,New credit,Car,10500
14,A_Create Application,2016-05-17 10:02:25.424415,start,User_108,Application,Limit raise,Home improvement,26000
14,A_Create Application,2016-05-17 10:02:25.425415,complete,User_108,Application,Limit raise,Home improvement,26000
15,A_Create Application,2016-05-17 10:02:25.426415,complete,User_108,Application,New credit,Existing loan takeover,28000
7,W_Complete application,2016-05-17 10:07:29.760410,complete,User_10,Workflow,New credit,Existing loan takeover,3000
13,W_Handle leads,2016-05-17 10:07:29.818030,start,User_10,Workflow,New credit,Caravan / Camper,22500
12,A_Submitted,2016-05-17 10:08:23.427652,complete,User_1,Application,New credit,Existing loan takeover,12500
13,W_Handle leads,2016-05-17 10:08:39.181626,complete,User_10,Workflow,New credit,Caravan / Camper,22500
4,W_Complete application,2016-05-17 10:08:39.301557,start,User_10,Workflow,New credit,Car,40500
6,A_Concept,2016-05-17 10:09:05.479940,complete,User_108,Application,New credit,Car,10500
8,A_Concept,2016-05-17 10:09:05.577940,complete,User_1,Application,Limit raise,Home improvement,20500
15,A_Submitted,2016-05-17 10:09:05.675940,complete,User_1,Application,New credit,Existing loan takeover,28000
14,A_Submitted,2016-05-17 10:11:30.599984,complete,User_1,Application,Limit raise,Home improvement,26000
14,W_Handle leads,2016-05-17 10:11:30.822224,start,User_108,Workflow,Limit raise,Home improvement,26000
14,W_Handle leads,2016-05-17 10:12:11.630091,complete,User_108,Workflow,Limit raise,Home improvement,26000
15,W_Handle leads,2016-05-17 10:13:44.503286,start,User_105,Workflow,New credit,Existing loan takeover,28000
15,W_Handle leads,2016-05-17 10:14:45.283230,complete,User_105,Workflow,New credit,Existing loan takeover,28000
15,W_Handle leads,2016-05-17 10:14:46.250815,start,User_105,Workflow,New credit,Existing loan takeover,28000
15,W_Handle leads,2016-05-17 10:16:31.203257,complete,User_105,Workflow,New credit,Existing loan takeover,28000
2,A_Concept,2016-05-17 10:16:45.287427,complete,User_105,Application,New credit,Existing loan takeover,6000
5,W_Complete application,2016-05-17 10:17:51.201826,complete,User_104,Workflow,New credit,"Other, see explanation",35000
7,A_Accepted,2016-05-17 10:17:51.616947,start,User_104,Application,New credit,Existing loan takeover,3000
7,A_Accepted,2016-05-17 10:17:52.640947,complete,User_104,Application,New credit,Existing loan takeover,3000
7,O_Create Offer,2016-05-17 10:17:53.103947,complete,User_11,Offer,New credit,Existing loan takeover,3000
3,W_Complete application,2016-05-17 10:22:11.863015,complete,User_104,Workflow,New credit,Car,20000
12,W_Handle leads,2016-05-17 10:22:12.397178,start,User_104,Workflow,New credit,Existing loan takeover,12500
12,W_Handle leads,2016-05-17 10:22:45.698297,complete,User_104,Workflow,New credit,Existing loan takeover,12500
8,W_Complete application,2016-05-17 10:22:46.248674,start,User_104,Workflow,Limit raise,Home improvement,20500
4,W_Complete application,2016-05-17 10:23:02.969343,complete,User_10,Workflow,New credit,Car,40500
6,W_Complete application,2016-05-17 10:23:03.050963,start,User_10,Workflow,New credit,Car,10500
13,A_Concept,2016-05-17 10:23:39.185626,complete,User_1,Application,New credit,Caravan / Camper,22500
14,A_Concept,2016-05-17 10:23:39.189626,complete,User_1,Application,Limit raise,Home improvement,26000
12,A_Concept,2016-05-17 10:23:39.193626,complete,User_1,Application,New credit,Existing loan takeover,12500
15,A_Concept,2016-05-17 10:24:05.679940,complete,User_12,Application,New credit,Existing loan takeover,28000
2,W_Complete application,2016-05-17 10:31:46.194833,start,User_105,Workflow,New credit,Existing loan takeover,6000
8,W_Complete application,2016-05-17 10:32:42.130541,complete,User_104,Workflow,Limit raise,Home improvement,20500
3,A_Accepted,2016-05-17 10:32:42.570114,start,User_104,Application,New credit,Car,20000
3,A_Accepted,2016-05-17 10:32:43.594114,complete,User_104,Application,New credit,Car,20000
3,O_Create Offer,2016-05-17 10:32:44.057114,complete,User_11,Offer,New credit,Car,20000
3,O_Create Offer,2016-05-17 10:32:44.520114,complete,User_11,Offer,New credit,Car,20000
5,A_Accepted,2016-05-17 10:32:52.225826,complete,User_108,Application,New credit,"Other, see explanation",35000
7,O_Created,2016-05-17 10:32:53.192947,complete,User_11,Offer,New credit,Existing loan takeover,3000
4,A_Accepted,2016-05-17 10:32:53.249826,complete,User_108,Application,New credit,Car,40500
8,A_Accepted,2016-05-17 10:32:54.273826,complete,User_108,Application,Limit raise,Home improvement,20500
8,O_Create Offer,2016-05-17 10:32:54.736826,complete,User_12,Offer,Limit raise,Home improvement,20500
6,W_Complete application,2016-05-17 10:36:32.620927,complete,User_10,Workflow,New credit,Car,10500
